pegawaidiklat_id;pegawai_nama;diklat_nama;diklat_jp;pegawai_diklat_tahun;jenis_diklat
31;Pegawai 548;Rencana Pengembangan Individu;22;01/01/2022;Teknis
32;Pegawai 163;Komunikasi Kepemimpinan;13;02/06/2021;Teknis
33;Pegawai 1268;Pengadaan Barang dan Jasa;18;29/05/2022;Teknis
34;Pegawai 330;Teknik Membaca Cepat;14;22/12/2022;Teknis
35;Pegawai 676;Pemeriksaan kinerja;18;26/08/2021;Teknis
36;Pegawai 1399;Pengadaan Barang dan Jasa;18;29/05/2022;Teknis
37;Pegawai 225;Pemeriksaan Badan Layanan Umum (BLU);9;24/05/2022;Teknis
38;Pegawai 845;Pemeriksaan Area Kunci;18;24/12/2021;Teknis
39;Pegawai 1904;Berpikir Kritis dan Inovatif;10;26/03/2021;Teknis
40;Pegawai 817;Diklat Kepemimpinan - IV;8;01/11/2022;Kepemimpinan
41;Pegawai 1959;Korespondensi dan Tata Naskah Kedinasan;12;14/12/2021;Teknis
42;Pegawai 269;Penyusunan dan Analisis Kontrak;8;26/01/2021;Teknis
43;Pegawai 1666;Pemeriksaan Area Kunci;18;24/12/2021;Teknis
44;Pegawai 538;Pemeriksaan Laporan Keuangan Pemerintah Daerah (LKPD) Berbasis Akrual;16;07/07/2021;Teknis
45;Pegawai 1261;Penulisan Populer dan Infografis;8;24/05/2022;Teknis
46;Pegawai 1742;International Financial Reporting System (IFRS);15;18/03/2021;Teknis
47;Pegawai 1179;Diklat Orientasi ke-BPK-an - Tenaga Honorer dan Lolos Butuh;22;19/06/2022;Orientasi Ke-BPK-AN
48;Pegawai 191;Sertifikasi konselor;12;15/09/2022;Teknis
49;Pegawai 1534;Pengelolaan Informasi Publik;9;01/11/2022;Teknis
50;Pegawai 98;Metode Penelitian Sosial;11;23/11/2022;Teknis
51;Pegawai 798;Perencanaan Pengadaan;20;13/12/2021;Teknis
52;Pegawai 120;Pemeriksaan Pendapatan Pajak Minerba;13;22/01/2022;Teknis
53;Pegawai 633;Penilaian Aset;16;30/01/2022;Teknis
54;Pegawai 930;Penyusunan Naskah Pidato;17;27/02/2022;Teknis
55;Pegawai 260;Penyusunan Prosedur Operasional Standar (POS);19;12/01/2021;Teknis
56;Pegawai 354;Diklat Prajabatan - Gol. III;14;04/03/2021;Pra-Jabatan
57;Pegawai 847;Pemeriksaan Belanja Modal dan Aset Tetap;22;10/12/2022;Teknis
58;Pegawai 97;Pengelolaan dan Penggunaan Kantor Akuntan Publik (KAP);16;13/02/2021;Teknis
59;Pegawai 126;Kehumasan;10;01/01/2022;Teknis
60;Pegawai 1542;Auditor Ahli Akuntansi;22;01/08/2021;Fungsional
61;Pegawai 154;Pemeriksaan Pendapatan Daerah;13;08/04/2021;Teknis
62;Pegawai 1824;Pemeriksaan pajak BUMN jasa karya;19;17/08/2021;Teknis
63;Pegawai 90;Sistem Aplikasi Pemeriksaan (SiAP) LK;16;26/03/2022;Teknis
64;Pegawai 1546;Public Speaking;10;21/11/2021;Teknis
65;Pegawai 159;Penyusunan dan Analisis Kontrak;8;26/01/2021;Teknis
66;Pegawai 635;Penilaian Sistem Pengendalian Intern;21;18/03/2022;Teknis
67;Pegawai 1852;Pemeriksaan Lingkungan (pengelolaan rawa);10;15/10/2022;Teknis
68;Pegawai 1218;Diklat Peran Pengendali Teknis (PT);13;29/12/2022;Fungsional
69;Pegawai 1639;Diklat Prajabatan - Gol. III;14;04/03/2021;Pra-Jabatan
70;Pegawai 781;Sistem aplikasi di bidang keuangan dan penyusunan laporan;11;04/03/2022;Teknis
71;Pegawai 1186;Pemeriksaan Operasional Perbankan;16;31/05/2021;Teknis
72;Pegawai 1963;Penulisan Populer dan Infografis;8;24/05/2022;Teknis
73;Pegawai 1466;e-procurement;13;24/05/2022;Teknis
74;Pegawai 11;Audit Forensik;16;15/04/2021;Teknis
75;Pegawai 1445;Master of Ceremony;10;06/01/2021;Teknis
76;Pegawai 734;Pengelolaan Website dan Sosial Media;8;21/12/2021;Teknis
77;Pegawai 1109;Pemeriksaan Belanja Modal dan Aset Tetap;22;10/12/2022;Teknis
78;Pegawai 979;Sistem aplikasi di bidang keuangan dan penyusunan laporan;11;04/03/2022;Teknis
79;Pegawai 962;Microsoft Excel;16;19/06/2021;Teknis
80;Pegawai 622;TABK-ACL;19;18/02/2021;Teknis
81;Pegawai 528;Manajemen Konflik;9;12/09/2021;Teknis
82;Pegawai 829;Penyusunan dan Analisis Kontrak;8;26/01/2021;Teknis
83;Pegawai 336;Sistem Pengelolaan Keuangan Pemerintah Daerah (SPKPD);14;03/02/2022;Teknis
84;Pegawai 674;Pengelolaan keuangan strategis;13;09/05/2021;Teknis
85;Pegawai 1221;Sistem Pengelolaan Keuangan Pemerintah Daerah (SPKPD);14;03/02/2022;Teknis
86;Pegawai 1919;Lain-lain;19;26/06/2022;Teknis
87;Pegawai 1269;Manajemen Perkantoran;22;24/06/2021;Teknis
88;Pegawai 1102;Teknik Wawancara Forensik;14;12/07/2021;Teknis
89;Pegawai 867;Auditor Ahli Non Akuntansi;19;02/05/2022;Fungsional
90;Pegawai 1589;Pengadaan infrastruktur;18;04/01/2022;Teknis
91;Pegawai 790;Reviu pengadaan barang dan jasa;20;23/12/2022;Teknis
92;Pegawai 1401;Persiapan Pemeriksaan Laporan Keuangan Pemerintah Daerah (LKPD) Berbasis Akrual;15;12/08/2021;Teknis
93;Pegawai 1225;Pengelolaan dan Penggunaan Kantor Akuntan Publik (KAP);16;13/02/2021;Teknis
94;Pegawai 1875;Pemeriksaan Aset dan Investasi;14;17/12/2021;Teknis
95;Pegawai 1504;Kerugian Negara;12;29/10/2022;Teknis
96;Pegawai 679;Penyusunan dan revisi anggaran RKA-KL;15;06/04/2021;Teknis
97;Pegawai 1459;Sistem Akuntansi Pemerintah Daerah;11;23/05/2021;Teknis
98;Pegawai 32;Hukum Pertanahan;19;11/05/2021;Teknis
99;Pegawai 675;Penyusunan dan Analisis Kontrak;8;26/01/2021;Teknis
100;Pegawai 633;Standar Akuntansi Pemerintahan;19;13/10/2021;Teknis
101;Pegawai 1808;Workshop persiapan pemeriksaan tematik atas Kinerja APIP;12;01/03/2022;Teknis
102;Pegawai 134;Pemeriksaan aset kawasan industri;9;18/06/2021;Teknis
103;Pegawai 1719;Pemeriksaan Berprespektif Lingkungan;17;15/04/2022;Teknis
104;Pegawai 1394;Diklat Orientasi ke-BPK-an - Gol. III;14;17/09/2022;Orientasi Ke-BPK-AN
105;Pegawai 1223;Pemeriksaan Laporan Keuangan Pemerintah Daerah (LKPD) Berbasis Akrual;16;07/07/2021;Teknis
106;Pegawai 334;Pemberian keterangan ahli;21;10/05/2022;Teknis
107;Pegawai 28;Penyusunan Laporan Keuangan;15;03/07/2022;Teknis
108;Pegawai 1184;International Financial Reporting System (IFRS);15;18/03/2021;Teknis
109;Pegawai 1587;Diklat Peran Ketua Tim Yunior (KTY);16;26/04/2022;Fungsional
110;Pegawai 584;Pemeriksaan Pendapatan Pajak Minerba;13;22/01/2022;Teknis
111;Pegawai 1175;Oracle Database;12;27/06/2022;Teknis
112;Pegawai 1802;Pemeriksaan Laporan Keuangan Pemerintah Daerah (LKPD) Berbasis Akrual;16;07/07/2021;Teknis
113;Pegawai 481;Manajemen Kompetensi;20;22/11/2022;Teknis
114;Pegawai 464;Penulisan Populer dan Infografis;8;24/05/2022;Teknis
115;Pegawai 625;Standar Kompetensi dan Evaluasi Jabatan;21;11/04/2022;Teknis
116;Pegawai 1855;Pemeriksaan dana bergulir;17;23/06/2022;Teknis
117;Pegawai 725;TABK (ACL, Arbutus, IDEA, Excel);11;26/05/2021;Teknis
118;Pegawai 1449;Standar Kompetensi dan Evaluasi Jabatan;21;11/04/2022;Teknis
119;Pegawai 1385;Pengelolaan keuangan strategis;13;09/05/2021;Teknis
120;Pegawai 298;Creative Leadership;21;17/10/2022;Teknis
121;Pegawai 1800;Analis AnggaranAnalis Kebijakan;8;29/06/2021;Fungsional
122;Pegawai 1064;Penulisan Kajian;14;12/11/2021;Teknis
123;Pegawai 1748;Penanganan massa;20;02/07/2021;Teknis
124;Pegawai 277;Pengadaan barang dan jasa tingkat menengah;15;26/12/2021;Teknis
125;Pegawai 586;Evaluasi terhadap KAP yang memeriksa untuk dan atas nama  BPK dan evaluasi terhadap KAP yang memerik;22;13/05/2021;Teknis
126;Pegawai 288;Pemeriksaan LKPD KT;9;22/02/2022;Teknis
127;Pegawai 1978;Pelatihan Lanjutan Satpam Gada Madya;8;05/10/2022;Teknis
128;Pegawai 1326;TABK LKKL;18;04/05/2022;Teknis
129;Pegawai 1576;Auditor Terampil Non Akuntansi;21;27/01/2021;Fungsional
130;Pegawai 118;Kerugian Negara;12;29/10/2022;Teknis
131;Pegawai 632;Pemeriksaan Pasca Tambang;14;03/07/2021;Teknis
132;Pegawai 526;Pengelolaan dan Penggunaan Kantor Akuntan Publik (KAP);16;13/02/2021;Teknis
133;Pegawai 731;Sistem Akuntansi Pemerintah Daerah;11;23/05/2021;Teknis
134;Pegawai 1415;Penyusunan Naskah Pidato;17;27/02/2022;Teknis
135;Pegawai 1967;Diklat Kepemimpinan - II;8;18/01/2021;Kepemimpinan
136;Pegawai 1457;Teknik Sampling;17;12/08/2021;Teknis
137;Pegawai 805;Workshop persiapan pemeriksaan LK Kemenkumham, Polri dan Kejaksaan;8;19/01/2022;Teknis
138;Pegawai 18;Pengadaan infrastruktur;18;04/01/2022;Teknis
139;Pegawai 844;Pemeriksaan Pengadaan Barang dan Jasa;20;17/01/2022;Teknis
140;Pegawai 582;Diklat Pembentukan Jabatan Fungsional Lainya (JFL);15;22/03/2022;Fungsional
141;Pegawai 21;Pemberian keterangan ahli;21;10/05/2022;Teknis
142;Pegawai 194;Peningkatan Kapasitas Pengelola Museum BPK RI;17;17/05/2022;Teknis
143;Pegawai 442;Pemeriksaan Pendapatan Pajak Minerba;13;22/01/2022;Teknis
144;Pegawai 921;Diklat Pembentukan Jabatan Fungsional Lainya (JFL);15;22/03/2022;Fungsional
145;Pegawai 430;Effective Government Auditing;11;08/01/2021;Teknis
146;Pegawai 1545;Manajemen TI;20;17/09/2022;Teknis
147;Pegawai 901;Korespondensi Modern dan Report Writing;8;11/10/2022;Teknis
148;Pegawai 1097;Master of Ceremony;10;06/01/2021;Teknis
149;Pegawai 1778;Change Management;10;27/10/2022;Teknis
150;Pegawai 1689;Pemeriksaan PBJ;21;12/01/2022;Teknis
151;Pegawai 137;Pemeriksaan LKPD KT;9;22/02/2022;Teknis
152;Pegawai 538;Teknik Pengumpulan dan Analisis Bukti Pemeriksaan Investigatif;16;06/05/2022;Teknis
153;Pegawai 419;Keprotokolan;10;27/11/2022;Teknis
154;Pegawai 967;Diklat Kepemimpinan - II;8;18/01/2021;Kepemimpinan
155;Pegawai 417;Penulisan Populer dan Infografis;8;24/05/2022;Teknis
156;Pegawai 1582;Persiapan Pemeriksaan Laporan Keuangan Pemerintah Daerah (LKPD) Berbasis Akrual;15;12/08/2021;Teknis
157;Pegawai 553;Pemeriksaan Kinerja Executive;20;12/08/2022;Teknis
158;Pegawai 1653;Berpikir Kritis dan Inovatif;10;26/03/2021;Teknis
159;Pegawai 514;Pemeriksaan Belanja Daerah;15;20/10/2022;Teknis
160;Pegawai 1815;Penulisan Populer dan Infografis;8;24/05/2022;Teknis
161;Pegawai 681;Pemeriksaan Operasional Perbankan;16;31/05/2021;Teknis
162;Pegawai 1815;Berpikir Kritis dan Inovatif;10;26/03/2021;Teknis
163;Pegawai 720;Auditor Terampil Akuntansi;19;14/11/2022;Fungsional
164;Pegawai 59;e-procurement;13;24/05/2022;Teknis
165;Pegawai 1436;Hukum Pertanahan;19;11/05/2021;Teknis
166;Pegawai 1768;International Financial Reporting System (IFRS);15;18/03/2021;Teknis
167;Pegawai 1941;Auditor Terampil Non Akuntansi;21;27/01/2021;Fungsional
168;Pegawai 1324;Pemeriksaan bisnis minyak dan gas (dan aspek perpajakannya);17;26/05/2021;Teknis
169;Pegawai 1086;Pemeriksaan PBJ;21;12/01/2022;Teknis
170;Pegawai 1603;TABK SIMDA;19;01/08/2021;Teknis
171;Pegawai 361;Diklat Peran Ketua Tim Senior (KTS);18;25/07/2022;Fungsional
172;Pegawai 1822;Analis KepegawaianAnggota Tim;21;17/06/2021;Fungsional
173;Pegawai 1219;Aspek Hukum dan Tindak Pidana Korupsi;12;19/03/2021;Teknis
174;Pegawai 1554;Pemahaman Entitas dan Penentuan Area Potensial;15;30/01/2022;Teknis
175;Pegawai 1733;Penghitungan Kerugian Negara/Daerah;9;06/02/2022;Teknis
176;Pegawai 791;Sistem Aplikasi Pemeriksaan (SiAP) LK;16;26/03/2022;Teknis
177;Pegawai 964;Lain-lain;19;26/06/2022;Teknis
178;Pegawai 1798;Professional Image Grooming;8;23/11/2021;Teknis
179;Pegawai 1633;Pemeriksaan Belanja Daerah;15;20/10/2022;Teknis
180;Pegawai 1152;Pemeriksaan pajak BUMN jasa karya;19;17/08/2021;Teknis
181;Pegawai 1872;Sekretariat Tim Penilai Angka Kredit JFP;21;08/02/2022;Teknis
182;Pegawai 1509;Sekretariat Tim Penilai Angka Kredit JFP;21;08/02/2022;Teknis
183;Pegawai 1874;Analisis Pemecahan Masalah;20;23/12/2021;Teknis
184;Pegawai 306;Penyusunan dan Analisis Kontrak;8;26/01/2021;Teknis
185;Pegawai 666;Effective Leadership;13;18/03/2022;Teknis
186;Pegawai 407;Penyusunan dan analisa kontrak di lingkungan Pemerintahan;18;17/11/2022;Teknis
187;Pegawai 358;Pemeriksaan aset kawasan industri;9;18/06/2021;Teknis
188;Pegawai 672;Pemeriksaan pajak BUMN jasa karya;19;17/08/2021;Teknis
189;Pegawai 1218;Manajemen Perpustakaan;16;27/11/2022;Teknis
190;Pegawai 1067;Diklat Orientasi ke-BPK-an - Gol. III;14;17/09/2022;Orientasi Ke-BPK-AN
191;Pegawai 736;Diklat Orientasi ke-BPK-an - Gol. III;14;17/09/2022;Orientasi Ke-BPK-AN
192;Pegawai 1622;Penghitungan Kerugian Negara/Daerah;9;06/02/2022;Teknis
193;Pegawai 1005;Etika Kerja Dalam Membangun Hubungan Kerja (PR);12;14/02/2022;Teknis
194;Pegawai 1947;Media Handling;12;05/03/2021;Teknis
195;Pegawai 1071;Pemeriksaan Belanja Daerah;15;20/10/2022;Teknis
196;Pegawai 1307;Logical Framework Analysis;11;01/08/2021;Teknis
197;Pegawai 1335;Diklat Orientasi ke-BPK-an - Tenaga Honorer dan Lolos Butuh;22;19/06/2022;Orientasi Ke-BPK-AN
198;Pegawai 1433;SPKPP;17;31/10/2021;Teknis
199;Pegawai 1894;Penetapan Kriteria;8;31/08/2021;Teknis
200;Pegawai 1707;Perumusan Opini;15;11/08/2021;Teknis
201;Pegawai 1924;Pengelolaan Jaringan;12;13/06/2021;Teknis
202;Pegawai 966;Pemeriksaan Kinerja Executive;20;12/08/2022;Teknis
203;Pegawai 1969;Pengadaan Barang dan Jasa;18;29/05/2022;Teknis
204;Pegawai 977;Creative Leadership;21;17/10/2022;Teknis
205;Pegawai 139;Penilaian angka kredit JFP;11;23/04/2022;Teknis
206;Pegawai 832;Pemeriksaan pajak BUMN jasa karya;19;17/08/2021;Teknis
207;Pegawai 1008;Manajemen Perpustakaan;16;27/11/2022;Teknis
208;Pegawai 1087;SAP dan Reviu LKPD;9;04/06/2021;Teknis
209;Pegawai 1611;Penyusunan dan analisa kontrak di lingkungan Pemerintahan;18;17/11/2022;Teknis
210;Pegawai 1305;Oracle Database;12;27/06/2022;Teknis
211;Pegawai 1267;Penghitungan Kerugian Negara/Daerah;9;06/02/2022;Teknis
212;Pegawai 1132;Workshop persiapan pemeriksaan LK Kemenkumham, Polri dan Kejaksaan;8;19/01/2022;Teknis
213;Pegawai 663;Pemeriksaan Aset dan Investasi;14;17/12/2021;Teknis
214;Pegawai 702;Konseling;9;16/05/2021;Teknis
215;Pegawai 1406;Sistem aplikasi pengelolaan SDM;14;12/04/2021;Teknis
216;Pegawai 462;Dasar-dasar Manajemen &amp;11;19/08/2022;Teknis
217;Pegawai 1391;Kepaniteraan Kerugian Negara;19;15/05/2022;Teknis
218;Pegawai 1271;Media Handling;12;05/03/2021;Teknis
219;Pegawai 1415;Kerugian Negara;12;29/10/2022;Teknis
220;Pegawai 1097;Sistem Aplikasi Pemeriksaan (SiAP) LK;16;26/03/2022;Teknis
221;Pegawai 1320;Kepaniteraan Kerugian Negara;19;15/05/2022;Teknis
222;Pegawai 1513;Teknik Wawancara dan SIAP LKPD;22;04/02/2022;Teknis
223;Pegawai 627;TABK (ACL, Arbutus, IDEA, Excel);11;26/05/2021;Teknis
224;Pegawai 828;Pengelolaan dan Penggunaan Kantor Akuntan Publik (KAP);16;13/02/2021;Teknis
225;Pegawai 4;Pemeriksaan Aset dan Investasi;14;17/12/2021;Teknis
226;Pegawai 581;Sertifikasi konselor;12;15/09/2022;Teknis
227;Pegawai 286;Pemeriksaan pajak BUMN jasa karya;19;17/08/2021;Teknis
228;Pegawai 404;Pemeriksaan LKPD AT;14;27/05/2021;Teknis
229;Pegawai 1916;Diklat Orientasi ke-BPK-an - Gol. II;13;10/09/2021;Orientasi Ke-BPK-AN
230;Pegawai 866;Aspek Hukum dan Tindak Pidana Korupsi;12;19/03/2021;Teknis
231;Pegawai 1038;Aplikasi Teknologi Informasi dan E-Audit;17;06/09/2021;Teknis
232;Pegawai 1133;Auditor Terampil Non Akuntansi;21;27/01/2021;Fungsional
233;Pegawai 105;Monitoring dan Evaluasi Kinerja RKA (PMK 249/2011);22;02/12/2022;Teknis
234;Pegawai 1045;Penjaminan Mutu Pemeriksaan;22;05/10/2022;Teknis
235;Pegawai 1568;Penginderaan Jauh (GIS);12;20/09/2021;Teknis
236;Pegawai 1912;Rencana Pengembangan Individu;22;01/01/2022;Teknis
237;Pegawai 557;Perumusan Opini;15;11/08/2021;Teknis
238;Pegawai 470;Pelayanan Prima;11;09/06/2021;Teknis
239;Pegawai 108;Penulisan Pendapat Hukum;13;13/04/2022;Teknis
240;Pegawai 381;Effective Communication Skills;17;20/07/2021;Teknis
241;Pegawai 1293;Keprotokolan;10;27/11/2022;Teknis
242;Pegawai 847;Pemeriksaan Kinerja KT;20;14/09/2021;Teknis
243;Pegawai 480;Manajemen Kompetensi;20;22/11/2022;Teknis
244;Pegawai 1018;Monitoring dan Evaluasi Kinerja RKA (PMK 249/2011);22;02/12/2022;Teknis
245;Pegawai 893;Perpajakan bagi bendahara;11;24/02/2022;Teknis
246;Pegawai 1733;Hukum Acara Pidana, Perdata dan TUN serta Penafsiran Hukum;16;10/05/2021;Teknis
247;Pegawai 793;Pemeriksaan Badan Layanan Umum (BLU);9;24/05/2022;Teknis
248;Pegawai 358;Review CFE;9;26/12/2021;Teknis
249;Pegawai 607;Self Motivation Skill;22;25/11/2021;Teknis
250;Pegawai 218;NLP;21;28/09/2022;Teknis
251;Pegawai 43;Aplikasi Perkantoran di BPK;18;30/08/2021;Teknis
252;Pegawai 1794;Auditor Ahli Non Akuntansi;19;02/05/2022;Fungsional
253;Pegawai 1458;Auditor Ahli Akuntansi;22;01/08/2021;Fungsional
254;Pegawai 1964;Penginderaan Jauh (GIS);12;20/09/2021;Teknis
255;Pegawai 1564;Managing Difficult and Conflict People;14;01/02/2021;Teknis
256;Pegawai 1914;Pemeriksaan Kinerja KT;20;14/09/2021;Teknis
257;Pegawai 1203;Pemberian Keterangan ahli;21;10/05/2022;Teknis
258;Pegawai 587;Teknik Sampling;17;12/08/2021;Teknis
259;Pegawai 1354;Alih Media Digital;16;21/12/2021;Teknis
260;Pegawai 1700;Manajemen Kediklatan;11;13/03/2021;Teknis
261;Pegawai 1429;Pemeriksaan investigatif;19;09/05/2021;Teknis
262;Pegawai 1572;DIKLAT PEMERIKSADiklat Peran Anggota Tim Senior (ATS);18;30/06/2022;Fungsional
263;Pegawai 212;Pembentukan Instruktur;9;16/06/2021;Teknis
264;Pegawai 473;Rencana Pengembangan Individu;22;01/01/2022;Teknis
265;Pegawai 1283;Penyusunan Prosedur Operasional Standar (POS);19;12/01/2021;Teknis
266;Pegawai 1333;Jabatan Fungsional Pranata dan Analis Pengelolaan Keuangan APBN;20;11/08/2022;Fungsional
267;Pegawai 1187;Diklat Orientasi ke-BPK-an - Gol. III;14;17/09/2022;Orientasi Ke-BPK-AN
268;Pegawai 73;Diklat Pembentukan Jabatan Fungsional Pemeriksa (JFP);12;03/04/2022;Fungsional
269;Pegawai 75;Digital Forensic;15;21/01/2021;Teknis
270;Pegawai 221;International Financial Reporting System (IFRS);15;18/03/2021;Teknis
271;Pegawai 101;Pemeriksaan Belanja Modal dan Aset Tetap;22;10/12/2022;Teknis
272;Pegawai 972;Penyusunan Prosedur Operasional Standar (POS);19;12/01/2021;Teknis
273;Pegawai 1607;Risk Based Audit ;19;10/01/2022;Teknis
274;Pegawai 1676;Pengelolaan Perpustakaan;9;08/08/2022;Teknis
275;Pegawai 1074;Pemberian keterangan ahli;21;10/05/2022;Teknis
276;Pegawai 858;Etika Kerja Dalam Membangun Hubungan Kerja (PR);12;14/02/2022;Teknis
277;Pegawai 1061;Microsoft Excel;16;19/06/2021;Teknis
278;Pegawai 354;Etika Kerja Dalam Membangun Hubungan Kerja (PR);12;14/02/2022;Teknis
279;Pegawai 1843;Rencana Pengembangan Individu;22;01/01/2022;Teknis
280;Pegawai 1190;Aplikasi Perkantoran di BPK;18;30/08/2021;Teknis
281;Pegawai 707;Psikologi Pemeriksaan;21;09/11/2022;Teknis
282;Pegawai 37;Diklat Pembentukan Jabatan Fungsional Pemeriksa (JFP);12;03/04/2022;Fungsional
283;Pegawai 118;Rencana Pengembangan Individu;22;01/01/2022;Teknis
284;Pegawai 1744;Master of Ceremony;10;06/01/2021;Teknis
285;Pegawai 1407;NLP;21;28/09/2022;Teknis
286;Pegawai 1276;Dasar-dasar Manajemen &amp;11;19/08/2022;Teknis
287;Pegawai 1160;Persiapan Pemeriksaan Laporan Keuangan Pemerintah Daerah (LKPD) Berbasis Akrual;15;12/08/2021;Teknis
288;Pegawai 1973;Sekretariat Tim Penilai Angka Kredit JFP;21;08/02/2022;Teknis
289;Pegawai 1334;Penyusunan Naskah Pidato;17;27/02/2022;Teknis
290;Pegawai 898;Alih Media Digital;16;21/12/2021;Teknis
291;Pegawai 1997;Rencana Pengembangan Individu;22;01/01/2022;Teknis
292;Pegawai 936;Pemeriksaan Pendapatan Daerah;13;08/04/2021;Teknis
293;Pegawai 257;Aspek Hukum dalam Pengadaan Barang dan Jasa;20;01/03/2021;Teknis
294;Pegawai 538;Creative Leadership;21;17/10/2022;Teknis
295;Pegawai 944;Media Handling;12;05/03/2021;Teknis
296;Pegawai 1974;Diklat Pembentukan Jabatan Fungsional Lainya (JFL);15;22/03/2022;Fungsional
297;Pegawai 1305;Diklat Kepemimpinan - I;8;27/09/2022;Kepemimpinan
298;Pegawai 103;Diklat Peran Anggota Tim Yunior (ATY);20;12/04/2021;Fungsional
299;Pegawai 637;Hukum Pertanahan;19;11/05/2021;Teknis
300;Pegawai 31;Sistem Kendali Kecurangan;12;23/02/2021;Teknis
301;Pegawai 923;TABK Excel;19;10/10/2021;Teknis
302;Pegawai 1851;Pemeriksaan aset kawasan industri;9;18/06/2021;Teknis
303;Pegawai 1522;Managing Difficult and Conflict People;14;01/02/2021;Teknis
304;Pegawai 1549;Diklat Peran Pengendali Teknis (PT);13;29/12/2022;Fungsional
305;Pegawai 734;Kerugian Negara;12;29/10/2022;Teknis
306;Pegawai 1608;Penilaian Risiko Kecurangan dalam Pemeriksaan LKPD;9;16/06/2022;Teknis
307;Pegawai 995;Penetapan Kriteria;8;31/08/2021;Teknis
308;Pegawai 1798;Kearsipan dan Kesekretariatan;17;26/04/2021;Teknis
309;Pegawai 192;Stress Management;20;23/12/2022;Teknis
310;Pegawai 1960;Workshop persiapan pemeriksaan tematik atas Kinerja APIP;12;01/03/2022;Teknis
311;Pegawai 207;Oracle Database;12;27/06/2022;Teknis
312;Pegawai 1417;Diklat Prajabatan - Gol. III;14;04/03/2021;Pra-Jabatan
313;Pegawai 1382;Manajemen Perkantoran;22;24/06/2021;Teknis
314;Pegawai 1299;Microsoft Excel;16;19/06/2021;Teknis
315;Pegawai 1475;Pemeriksaan Lingkungan (pengelolaan rawa);10;15/10/2022;Teknis
316;Pegawai 1248;Teknik Wawancara dan SIAP LKPD;22;04/02/2022;Teknis
317;Pegawai 1090;Metode Penelitian Sosial;11;23/11/2022;Teknis
318;Pegawai 851;Pengadaan Barang dan Jasa;18;29/05/2022;Teknis
319;Pegawai 1912;Analis AnggaranAnalis Kebijakan;8;29/06/2021;Fungsional
320;Pegawai 711;Analis KepegawaianAnggota Tim;21;17/06/2021;Fungsional
321;Pegawai 510;Teknik Pengumpulan dan Analisis Bukti Pemeriksaan Investigatif;16;06/05/2022;Teknis
322;Pegawai 908;Etika Profesi Bidang Telematika;22;24/10/2022;Teknis
323;Pegawai 1801;Pemeriksaan Manajemen Kas;22;30/12/2021;Teknis
324;Pegawai 1385;Dasar-dasar Manajemen &amp;11;19/08/2022;Teknis
