pegawai_bahasa_id;pegawai_nama;bahasa_nama;tahun_dari;pegawai_perwakilan
92;Pegawai 1594;English;07/12/2019;BPK Perwakilan Provinsi Papua Barat
93;Pegawai 222;English;20/03/2021;BPK Perwakilan Provinsi Sulawesi Tengah
94;Pegawai 154;English;02/07/2019;BPK Perwakilan Provinsi Papua
95;Pegawai 1517;English;26/06/2022;BPK Perwakilan Provinsi Riau
96;Pegawai 1997;English;06/05/2020;BPK Perwakilan Provinsi Kalimantan Utara
97;Pegawai 805;English;26/07/2020;BPK Perwakilan Provinsi DKI Jakarta
98;Pegawai 1128;English;14/02/2021;BPK Perwakilan Provinsi Sumatera Barat
99;Pegawai 1600;English;01/05/2022;BPK Perwakilan Provinsi Kalimantan Tengah
100;Pegawai 319;English;07/01/2021;BPK Perwakilan Provinsi DI Yogyakarta
101;Pegawai 471;English;21/12/2022;BPK Perwakilan Provinsi Kalimantan Tengah
102;Pegawai 868;English;04/04/2021;BPK Perwakilan Provinsi Kalimantan Timur
103;Pegawai 451;English;11/03/2022;BPK Perwakilan Provinsi Sulawesi Utara
104;Pegawai 1233;English;17/02/2022;BPK Perwakilan Provinsi Kalimantan Tengah
105;Pegawai 1895;English;13/06/2021;BPK Perwakilan Provinsi Kepulauan Riau
106;Pegawai 226;English;13/04/2022;BPK Perwakilan Provinsi Kalimantan Selatan
107;Pegawai 1012;English;22/04/2021;BPK Perwakilan Provinsi Kalimantan Utara
108;Pegawai 1498;English;06/10/2019;BPK Perwakilan Provinsi Sulawesi Tengah
109;Pegawai 1522;English;03/08/2021;BPK Perwakilan Provinsi Sumatera Barat
110;Pegawai 22;English;12/04/2020;BPK Perwakilan Provinsi Sulawesi Tenggara
111;Pegawai 964;English;15/02/2022;BPK Perwakilan Provinsi Sulawesi Selatan
112;Pegawai 218;English;06/07/2022;BPK Perwakilan Provinsi Kalimantan Timur
113;Pegawai 1168;English;29/08/2019;BPK Perwakilan Provinsi Jawa Barat
114;Pegawai 899;English;07/02/2021;BPK Perwakilan Provinsi Kalimantan Selatan
115;Pegawai 1599;English;29/08/2019;BPK Perwakilan Provinsi Kalimantan Utara
116;Pegawai 185;English;26/03/2021;BPK Perwakilan Provinsi Sulawesi Selatan
117;Pegawai 1084;English;22/07/2019;BPK Perwakilan Provinsi Lampung
118;Pegawai 419;English;09/08/2020;BPK Perwakilan Provinsi Nusa Tenggara Barat
119;Pegawai 807;English;30/09/2021;BPK Perwakilan Provinsi Aceh
120;Pegawai 116;English;03/04/2022;BPK Perwakilan Provinsi Kepulauan Riau
121;Pegawai 982;English;05/09/2021;BPK Perwakilan Provinsi Kalimantan Utara
122;Pegawai 1907;English;17/12/2021;BPK Perwakilan Provinsi Maluku Utara
123;Pegawai 1093;English;19/07/2019;BPK Perwakilan Provinsi Sulawesi Utara
124;Pegawai 1445;English;12/10/2022;BPK Perwakilan Provinsi Jawa Timur
125;Pegawai 116;English;18/06/2019;BPK Perwakilan Provinsi Kepulauan Riau
126;Pegawai 1422;English;04/12/2021;BPK Perwakilan Provinsi DI Yogyakarta
127;Pegawai 1425;English;27/02/2021;BPK Perwakilan Provinsi Kalimantan Selatan
128;Pegawai 121;English;21/08/2020;BPK Perwakilan Provinsi Nusa Tenggara Timur
129;Pegawai 1904;English;24/10/2019;BPK Perwakilan Provinsi Bangka Belitung
130;Pegawai 1649;English;01/04/2021;BPK Perwakilan Provinsi Kepulauan Riau
131;Pegawai 1396;English;09/05/2021;BPK Perwakilan Provinsi Riau
132;Pegawai 1079;English;12/03/2021;BPK Perwakilan Provinsi Kalimantan Barat
133;Pegawai 1778;English;27/08/2019;BPK Perwakilan Provinsi DKI Jakarta
134;Pegawai 1582;English;05/02/2022;BPK Perwakilan Provinsi Kalimantan Barat
135;Pegawai 363;English;28/04/2022;BPK Perwakilan Provinsi Jawa Tengah
136;Pegawai 175;English;12/01/2020;BPK Perwakilan Provinsi Sulawesi Tenggara
137;Pegawai 257;English;20/08/2019;BPK Perwakilan Provinsi Jawa Tengah
138;Pegawai 593;English;27/06/2019;BPK Perwakilan Provinsi Sulawesi Selatan
139;Pegawai 1543;English;16/12/2019;BPK Perwakilan Provinsi Sumatera Barat
140;Pegawai 1864;English;18/02/2019;BPK Perwakilan Provinsi DI Yogyakarta
141;Pegawai 330;English;31/08/2022;BPK Perwakilan Provinsi Jawa Timur
142;Pegawai 1261;English;09/02/2022;BPK Perwakilan Provinsi Jambi
143;Pegawai 1142;English;13/04/2022;BPK Perwakilan Provinsi Kalimantan Tengah
144;Pegawai 955;English;14/08/2021;BPK Perwakilan Provinsi Papua Barat
145;Pegawai 1535;English;26/03/2019;BPK Perwakilan Provinsi Sulawesi Barat
146;Pegawai 1816;English;18/06/2022;BPK Perwakilan Provinsi Sulawesi Selatan
147;Pegawai 1831;English;01/09/2020;BPK Perwakilan Provinsi Papua
148;Pegawai 713;English;31/10/2020;BPK Perwakilan Provinsi Kalimantan Utara
149;Pegawai 606;English;01/08/2019;BPK Perwakilan Provinsi Sulawesi Selatan
150;Pegawai 1378;English;08/02/2021;BPK Perwakilan Provinsi Nusa Tenggara Timur
151;Pegawai 1189;English;08/02/2022;BPK Perwakilan Provinsi Maluku
152;Pegawai 1513;English;20/09/2019;BPK Perwakilan Provinsi Jawa Tengah
153;Pegawai 880;English;20/07/2022;BPK Perwakilan Provinsi DI Yogyakarta
154;Pegawai 1533;English;10/12/2019;BPK Perwakilan Provinsi Jawa Barat
155;Pegawai 496;English;12/07/2020;BPK Perwakilan Provinsi Nusa Tenggara Barat
156;Pegawai 475;English;13/01/2021;BPK Perwakilan Provinsi Sulawesi Utara
157;Pegawai 731;English;12/04/2021;BPK Perwakilan Provinsi Jambi
158;Pegawai 790;English;28/07/2021;BPK Perwakilan Provinsi Lampung
159;Pegawai 1661;English;25/02/2022;BPK Perwakilan Provinsi Banten
160;Pegawai 420;English;10/05/2019;BPK Perwakilan Provinsi Banten
161;Pegawai 645;English;14/07/2020;BPK Perwakilan Provinsi Sumatera Barat
162;Pegawai 1919;English;10/07/2021;BPK Perwakilan Provinsi Papua Barat
163;Pegawai 371;English;03/02/2020;BPK Perwakilan Provinsi Jawa Tengah
164;Pegawai 509;English;15/09/2022;BPK Perwakilan Provinsi DKI Jakarta
165;Pegawai 889;English;15/04/2021;BPK Perwakilan Provinsi Kalimantan Tengah
166;Pegawai 51;English;06/12/2019;BPK Perwakilan Provinsi Papua Barat
167;Pegawai 1453;English;05/12/2022;BPK Perwakilan Provinsi Banten
168;Pegawai 560;English;02/05/2019;BPK Perwakilan Provinsi Kalimantan Barat
169;Pegawai 29;English;19/10/2019;BPK Perwakilan Provinsi Nusa Tenggara Timur
170;Pegawai 1434;English;13/07/2021;BPK Perwakilan Provinsi Jawa Barat
171;Pegawai 1361;English;11/03/2020;BPK Perwakilan Provinsi Sumatera Barat
172;Pegawai 1027;English;28/08/2021;BPK Perwakilan Provinsi Aceh
173;Pegawai 1633;English;11/04/2021;BPK Perwakilan Provinsi Kepulauan Riau
174;Pegawai 1404;English;20/02/2020;BPK Perwakilan Provinsi Kalimantan Barat
175;Pegawai 1898;English;04/02/2020;BPK Perwakilan Provinsi Maluku Utara
176;Pegawai 245;English;02/06/2020;BPK Perwakilan Provinsi Kalimantan Timur
177;Pegawai 321;English;04/03/2020;BPK Perwakilan Provinsi Papua
178;Pegawai 1325;English;11/02/2021;BPK Perwakilan Provinsi Kalimantan Selatan
179;Pegawai 970;English;14/02/2020;BPK Perwakilan Provinsi Maluku
180;Pegawai 1009;English;11/05/2019;BPK Perwakilan Provinsi Sulawesi Barat
181;Pegawai 958;English;08/11/2021;BPK Perwakilan Provinsi Maluku Utara
182;Pegawai 748;English;18/06/2019;BPK Perwakilan Provinsi Riau
183;Pegawai 1716;English;15/02/2020;BPK Perwakilan Provinsi Jawa Timur
184;Pegawai 1050;English;15/08/2022;BPK Perwakilan Provinsi Bali
185;Pegawai 59;English;12/03/2019;BPK Perwakilan Provinsi Aceh
186;Pegawai 164;English;01/04/2021;BPK Perwakilan Provinsi Nusa Tenggara Barat
187;Pegawai 1844;English;04/04/2019;BPK Perwakilan Provinsi Jambi
188;Pegawai 1475;English;02/01/2022;BPK Perwakilan Provinsi Bengkulu
189;Pegawai 1972;English;25/02/2022;BPK Perwakilan Provinsi Jawa Tengah
190;Pegawai 602;English;17/03/2022;BPK Perwakilan Provinsi Bali
191;Pegawai 25;English;03/03/2019;BPK Perwakilan Provinsi Sulawesi Tenggara
192;Pegawai 1159;English;28/05/2022;BPK Perwakilan Provinsi Banten
193;Pegawai 55;English;03/02/2021;BPK Perwakilan Provinsi Kalimantan Barat
194;Pegawai 674;English;02/10/2021;BPK Perwakilan Provinsi Jawa Tengah
195;Pegawai 1504;English;01/07/2021;BPK Perwakilan Provinsi Aceh
196;Pegawai 220;English;24/04/2021;BPK Perwakilan Provinsi Sulawesi Tengah
197;Pegawai 1636;English;23/02/2020;BPK Perwakilan Provinsi Jawa Barat
198;Pegawai 750;English;12/11/2022;BPK Perwakilan Provinsi Kalimantan Selatan
199;Pegawai 461;English;22/09/2022;BPK Perwakilan Provinsi Bali
200;Pegawai 1315;English;04/02/2021;BPK Perwakilan Provinsi Papua
201;Pegawai 226;English;28/07/2021;BPK Perwakilan Provinsi Kalimantan Selatan
202;Pegawai 1834;English;04/08/2020;BPK Perwakilan Provinsi DI Yogyakarta
203;Pegawai 289;English;30/05/2021;BPK Perwakilan Provinsi Bengkulu
204;Pegawai 1663;English;20/02/2020;BPK Perwakilan Provinsi DKI Jakarta
205;Pegawai 1548;English;06/11/2019;BPK Perwakilan Provinsi Jawa Timur
206;Pegawai 613;English;18/06/2019;BPK Perwakilan Provinsi Sumatera Barat
207;Pegawai 98;English;24/03/2019;BPK Perwakilan Provinsi Kalimantan Selatan
208;Pegawai 145;English;05/04/2019;BPK Perwakilan Provinsi Jawa Barat
209;Pegawai 35;English;15/04/2019;BPK Perwakilan Provinsi Sumatera Selatan
210;Pegawai 730;English;09/08/2020;BPK Perwakilan Provinsi Kalimantan Tengah
211;Pegawai 476;English;19/11/2022;BPK Perwakilan Provinsi Sulawesi Tengah
212;Pegawai 1365;English;12/11/2022;BPK Perwakilan Provinsi Sulawesi Utara
213;Pegawai 1328;English;28/10/2020;BPK Perwakilan Provinsi Kalimantan Tengah
214;Pegawai 1859;English;23/06/2020;BPK Perwakilan Provinsi Sulawesi Selatan
215;Pegawai 1435;English;02/08/2021;BPK Perwakilan Provinsi Bangka Belitung
216;Pegawai 581;English;14/12/2022;BPK Perwakilan Provinsi Nusa Tenggara Barat
217;Pegawai 1071;English;03/08/2020;BPK Perwakilan Provinsi Nusa Tenggara Barat
218;Pegawai 1819;English;21/08/2021;BPK Perwakilan Provinsi Sulawesi Tengah
219;Pegawai 552;English;08/08/2020;BPK Perwakilan Provinsi Gorontalo
220;Pegawai 1413;English;27/10/2021;BPK Perwakilan Provinsi Jawa Barat
221;Pegawai 1747;English;07/02/2022;BPK Perwakilan Provinsi Kalimantan Tengah
222;Pegawai 402;English;22/11/2020;BPK Perwakilan Provinsi Gorontalo
223;Pegawai 31;English;08/11/2021;BPK Perwakilan Provinsi Kalimantan Tengah
224;Pegawai 1054;English;17/05/2019;BPK Perwakilan Provinsi Papua Barat
225;Pegawai 741;English;28/11/2020;BPK Perwakilan Provinsi Papua Barat
226;Pegawai 167;English;07/01/2020;BPK Perwakilan Provinsi Sumatera Barat
227;Pegawai 151;English;17/01/2021;BPK Perwakilan Provinsi Sumatera Utara
228;Pegawai 1882;English;07/07/2019;BPK Perwakilan Provinsi Sulawesi Barat
229;Pegawai 1398;English;05/12/2021;BPK Perwakilan Provinsi Bali
230;Pegawai 375;English;22/05/2019;BPK Perwakilan Provinsi Sumatera Selatan
231;Pegawai 1585;English;29/03/2021;BPK Perwakilan Provinsi Lampung
232;Pegawai 1960;English;21/04/2021;BPK Perwakilan Provinsi Papua Barat
233;Pegawai 181;English;12/02/2021;BPK Perwakilan Provinsi Sumatera Utara
234;Pegawai 312;English;26/03/2020;BPK Perwakilan Provinsi DI Yogyakarta
235;Pegawai 517;English;28/06/2020;BPK Perwakilan Provinsi Bangka Belitung
236;Pegawai 1693;English;19/02/2022;BPK Perwakilan Provinsi Sulawesi Selatan
237;Pegawai 390;English;19/12/2020;BPK Perwakilan Provinsi Sulawesi Selatan
238;Pegawai 1540;English;03/01/2022;BPK Perwakilan Provinsi Bali
239;Pegawai 1889;English;13/07/2019;BPK Perwakilan Provinsi Nusa Tenggara Timur
240;Pegawai 1549;English;08/03/2022;BPK Perwakilan Provinsi Sulawesi Tenggara
241;Pegawai 766;English;25/10/2022;BPK Perwakilan Provinsi Sulawesi Utara
242;Pegawai 1440;English;01/12/2021;BPK Perwakilan Provinsi DI Yogyakarta
243;Pegawai 879;English;18/11/2022;BPK Perwakilan Provinsi Bengkulu
244;Pegawai 803;English;30/10/2019;BPK Perwakilan Provinsi Kalimantan Tengah
245;Pegawai 273;English;26/08/2021;BPK Perwakilan Provinsi Jambi
246;Pegawai 1437;English;03/12/2021;BPK Perwakilan Provinsi Kalimantan Tengah
247;Pegawai 1878;English;18/07/2021;BPK Perwakilan Provinsi Gorontalo
248;Pegawai 591;English;12/08/2021;BPK Perwakilan Provinsi Kalimantan Utara
249;Pegawai 204;English;01/10/2020;BPK Perwakilan Provinsi Kalimantan Barat
250;Pegawai 1937;English;15/10/2019;BPK Perwakilan Provinsi Sulawesi Selatan
251;Pegawai 1157;English;26/08/2020;BPK Perwakilan Provinsi Gorontalo
252;Pegawai 1109;English;06/11/2021;BPK Perwakilan Provinsi Nusa Tenggara Timur
253;Pegawai 1183;English;01/07/2019;BPK Perwakilan Provinsi Sumatera Selatan
254;Pegawai 1292;English;01/11/2022;BPK Perwakilan Provinsi Papua Barat
255;Pegawai 1176;English;05/09/2021;BPK Perwakilan Provinsi Nusa Tenggara Timur
256;Pegawai 205;English;27/10/2019;BPK Perwakilan Provinsi Bali
257;Pegawai 219;English;30/10/2020;BPK Perwakilan Provinsi Nusa Tenggara Barat
258;Pegawai 1186;English;17/07/2019;BPK Perwakilan Provinsi Kalimantan Timur
259;Pegawai 879;English;23/08/2020;BPK Perwakilan Provinsi Bengkulu
260;Pegawai 423;English;07/10/2022;BPK Perwakilan Provinsi Jawa Timur
261;Pegawai 1748;English;24/09/2019;BPK Perwakilan Provinsi Gorontalo
262;Pegawai 1067;English;10/03/2022;BPK Perwakilan Provinsi Maluku
263;Pegawai 347;English;06/09/2021;BPK Perwakilan Provinsi Jambi
264;Pegawai 1738;English;30/07/2019;BPK Perwakilan Provinsi DKI Jakarta
265;Pegawai 1612;English;24/07/2021;BPK Perwakilan Provinsi Kalimantan Selatan
266;Pegawai 1872;English;09/05/2019;BPK Perwakilan Provinsi Jawa Barat
267;Pegawai 37;English;05/08/2019;BPK Perwakilan Provinsi Jawa Tengah
268;Pegawai 50;English;03/04/2019;BPK Perwakilan Provinsi Kalimantan Utara
269;Pegawai 439;English;23/02/2021;BPK Perwakilan Provinsi Sulawesi Barat
270;Pegawai 555;English;13/09/2019;BPK Perwakilan Provinsi Sumatera Barat
271;Pegawai 645;English;10/03/2021;BPK Perwakilan Provinsi Sumatera Barat
272;Pegawai 1330;English;04/12/2021;BPK Perwakilan Provinsi Kalimantan Timur
273;Pegawai 711;English;26/02/2019;BPK Perwakilan Provinsi Bengkulu
274;Pegawai 151;English;15/04/2020;BPK Perwakilan Provinsi Sumatera Utara
275;Pegawai 1538;English;03/03/2019;BPK Perwakilan Provinsi Maluku
276;Pegawai 327;English;07/06/2020;BPK Perwakilan Provinsi Jawa Barat
277;Pegawai 219;English;08/07/2019;BPK Perwakilan Provinsi Nusa Tenggara Barat
278;Pegawai 916;English;21/05/2022;BPK Perwakilan Provinsi Maluku
279;Pegawai 1246;English;30/06/2020;BPK Perwakilan Provinsi Jambi
280;Pegawai 38;English;18/07/2019;BPK Perwakilan Provinsi Sulawesi Tengah
281;Pegawai 276;English;04/02/2021;BPK Perwakilan Provinsi Jawa Tengah
282;Pegawai 994;English;17/09/2021;BPK Perwakilan Provinsi Maluku Utara
283;Pegawai 1771;English;17/12/2019;BPK Perwakilan Provinsi Kalimantan Selatan
284;Pegawai 942;English;24/11/2020;BPK Perwakilan Provinsi Maluku Utara
285;Pegawai 961;English;10/07/2020;BPK Perwakilan Provinsi Sumatera Utara
286;Pegawai 68;English;02/08/2021;BPK Perwakilan Provinsi Kepulauan Riau
287;Pegawai 765;English;10/04/2020;BPK Perwakilan Provinsi Bangka Belitung
288;Pegawai 1693;English;16/07/2022;BPK Perwakilan Provinsi Sulawesi Selatan
289;Pegawai 622;English;09/12/2022;BPK Perwakilan Provinsi Kalimantan Tengah
290;Pegawai 1514;English;28/12/2019;BPK Perwakilan Provinsi Riau
291;Pegawai 373;English;27/03/2020;BPK Perwakilan Provinsi Bangka Belitung
292;Pegawai 1639;English;15/04/2022;BPK Perwakilan Provinsi Sulawesi Barat
293;Pegawai 810;English;24/02/2021;BPK Perwakilan Provinsi Kalimantan Tengah
294;Pegawai 174;English;24/08/2020;BPK Perwakilan Provinsi Bengkulu
295;Pegawai 664;English;06/09/2019;BPK Perwakilan Provinsi Gorontalo
296;Pegawai 1675;English;24/07/2019;BPK Perwakilan Provinsi Sumatera Selatan
297;Pegawai 77;English;23/10/2019;BPK Perwakilan Provinsi Sulawesi Tengah
298;Pegawai 1502;English;31/08/2019;BPK Perwakilan Provinsi Sumatera Selatan
299;Pegawai 1450;English;11/03/2020;BPK Perwakilan Provinsi DI Yogyakarta
300;Pegawai 755;English;11/04/2020;BPK Perwakilan Provinsi Jawa Barat
301;Pegawai 653;English;21/04/2021;BPK Perwakilan Provinsi Banten
302;Pegawai 409;English;15/03/2022;BPK Perwakilan Provinsi Maluku
303;Pegawai 772;English;06/03/2019;BPK Perwakilan Provinsi Banten
304;Pegawai 688;English;12/08/2019;BPK Perwakilan Provinsi Bali
305;Pegawai 281;English;20/10/2022;BPK Perwakilan Provinsi DI Yogyakarta
306;Pegawai 1809;English;13/12/2020;BPK Perwakilan Provinsi Sulawesi Utara
307;Pegawai 1770;English;28/03/2020;BPK Perwakilan Provinsi DI Yogyakarta
308;Pegawai 1440;English;14/05/2020;BPK Perwakilan Provinsi DI Yogyakarta
309;Pegawai 1138;English;29/10/2020;BPK Perwakilan Provinsi Bengkulu
310;Pegawai 200;English;30/07/2022;BPK Perwakilan Provinsi Sulawesi Tenggara
311;Pegawai 1960;English;03/10/2019;BPK Perwakilan Provinsi Papua Barat
312;Pegawai 1832;English;13/10/2022;BPK Perwakilan Provinsi Sumatera Selatan
313;Pegawai 925;English;13/04/2021;BPK Perwakilan Provinsi Kalimantan Tengah
314;Pegawai 1999;English;03/07/2019;BPK Perwakilan Provinsi Kalimantan Tengah
315;Pegawai 239;English;24/04/2021;BPK Perwakilan Provinsi Sumatera Selatan
316;Pegawai 932;English;19/09/2022;BPK Perwakilan Provinsi Maluku
317;Pegawai 45;English;20/04/2019;BPK Perwakilan Provinsi Jawa Timur
318;Pegawai 1950;English;23/09/2020;BPK Perwakilan Provinsi Sulawesi Tengah
319;Pegawai 1986;English;24/09/2022;BPK Perwakilan Provinsi Sulawesi Tenggara
320;Pegawai 1945;English;06/02/2022;BPK Perwakilan Provinsi Sumatera Selatan
321;Pegawai 913;English;04/02/2022;BPK Perwakilan Provinsi Bali
322;Pegawai 364;English;19/02/2019;BPK Perwakilan Provinsi Gorontalo
323;Pegawai 975;English;25/08/2022;BPK Perwakilan Provinsi Banten
324;Pegawai 1412;English;18/11/2019;BPK Perwakilan Provinsi Sulawesi Tenggara
325;Pegawai 1830;English;24/02/2021;BPK Perwakilan Provinsi Papua Barat
326;Pegawai 669;English;15/10/2022;BPK Perwakilan Provinsi Gorontalo
327;Pegawai 1116;English;29/06/2021;BPK Perwakilan Provinsi Kalimantan Tengah
328;Pegawai 1417;English;21/08/2022;BPK Perwakilan Provinsi DKI Jakarta
