pegawai_id;pegawai_nama;pegawai_pendidikan;jabatan_nama;perwakilan;usia;tgl_masuk;tgl_keluar;;;
198;Pegawai 197;D4;Pranata Komputer Terampil ;BPK Perwakilan Provinsi Jawa Timur;54;26/08/2019;-;;;
199;Pegawai 198;D4;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Kalimantan Tengah;48;19/07/2020;-;;;
200;Pegawai 199;D4;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Sulawesi Barat;49;27/11/2020;-;;;
201;Pegawai 200;S2;Pranata Keuangan APBN Terampil ;BPK Perwakilan Provinsi Sulawesi Tenggara;55;11/08/2018;11/08/2022;;;
202;Pegawai 201;S1;Analis Pengelolaan Keuangan APBN Muda ;BPK Perwakilan Provinsi Kalimantan Timur;22;14/09/2018;14/09/2022;;;
203;Pegawai 202;S2;Pranata Komputer Muda ;BPK Perwakilan Provinsi Riau;29;18/08/2021;-;;;
204;Pegawai 203;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi DI Yogyakarta;31;22/02/2021;-;;;
205;Pegawai 204;D4;Pranata Keuangan APBN Mahir ;BPK Perwakilan Provinsi Kalimantan Barat;36;03/03/2021;-;;;
206;Pegawai 205;S2;Pranata Komputer Muda ;BPK Perwakilan Provinsi Bali;29;17/04/2022;-;;;
207;Pegawai 206;S1;Analis Kepegawaian Pertama ;BPK Perwakilan Provinsi Papua;54;22/09/2020;-;;;
208;Pegawai 207;D4;Analis Kepegawaian Muda ;BPK Perwakilan Provinsi Maluku;47;25/07/2018;25/07/2022;;;
