skp_id;pegawai_nama;skp_nilai;skp_tahun
;Pegawai 123;72;31/12/2021
;Pegawai 124;94;31/12/2021
;Pegawai 125;72;31/12/2021
;Pegawai 126;85;31/12/2021
;Pegawai 127;71;31/12/2021
;Pegawai 128;94;31/12/2021
;Pegawai 129;77;31/12/2021
;Pegawai 130;98;31/12/2021
;Pegawai 131;71;31/12/2021
;Pegawai 132;71;31/12/2021
;Pegawai 133;91;31/12/2021
;Pegawai 134;75;31/12/2021
;Pegawai 135;82;31/12/2021
;Pegawai 136;99;31/12/2021
;Pegawai 137;94;31/12/2021
;Pegawai 138;94;31/12/2021
;Pegawai 139;95;31/12/2021
;Pegawai 140;70;31/12/2021
;Pegawai 141;92;31/12/2021
;Pegawai 142;95;31/12/2021
;Pegawai 143;82;31/12/2021
;Pegawai 144;95;31/12/2021
;Pegawai 145;99;31/12/2021
;Pegawai 146;90;31/12/2021
;Pegawai 147;90;31/12/2021
;Pegawai 148;91;31/12/2021
;Pegawai 149;89;31/12/2021
;Pegawai 150;96;31/12/2021
;Pegawai 151;74;31/12/2021
;Pegawai 152;79;31/12/2021
;Pegawai 153;91;31/12/2021
;Pegawai 154;88;31/12/2021
;Pegawai 155;81;31/12/2021
;Pegawai 156;90;31/12/2021
;Pegawai 157;93;31/12/2021
;Pegawai 158;70;31/12/2021
;Pegawai 159;72;31/12/2021
;Pegawai 160;72;31/12/2021
;Pegawai 161;75;31/12/2021
;Pegawai 162;89;31/12/2021
;Pegawai 163;82;31/12/2021
;Pegawai 164;87;31/12/2021
;Pegawai 165;98;31/12/2021
;Pegawai 166;86;31/12/2021
;Pegawai 167;97;31/12/2021
;Pegawai 168;79;31/12/2021
;Pegawai 169;80;31/12/2021
;Pegawai 170;86;31/12/2021
;Pegawai 171;91;31/12/2021
;Pegawai 172;80;31/12/2021
;Pegawai 173;97;31/12/2021
;Pegawai 174;70;31/12/2021
;Pegawai 175;70;31/12/2021
;Pegawai 176;76;31/12/2021
;Pegawai 177;88;31/12/2021
;Pegawai 178;91;31/12/2021
;Pegawai 179;92;31/12/2021
;Pegawai 180;90;31/12/2021
;Pegawai 181;77;31/12/2021
;Pegawai 182;87;31/12/2021
;Pegawai 183;84;31/12/2021
;Pegawai 184;82;31/12/2021
;Pegawai 185;99;31/12/2021
;Pegawai 186;80;31/12/2021
;Pegawai 187;89;31/12/2021
;Pegawai 188;77;31/12/2021
;Pegawai 189;75;31/12/2021
;Pegawai 190;79;31/12/2021
;Pegawai 191;98;31/12/2021
;Pegawai 192;99;31/12/2021
;Pegawai 193;77;31/12/2021
;Pegawai 194;89;31/12/2021
;Pegawai 195;70;31/12/2021
;Pegawai 196;77;31/12/2021
;Pegawai 197;74;31/12/2021
;Pegawai 198;90;31/12/2021
;Pegawai 199;82;31/12/2021
;Pegawai 200;84;31/12/2021
;Pegawai 201;73;31/12/2021
;Pegawai 202;94;31/12/2021
;Pegawai 203;73;31/12/2021
;Pegawai 204;80;31/12/2021
;Pegawai 205;91;31/12/2021
;Pegawai 206;70;31/12/2021
;Pegawai 207;71;31/12/2021
;Pegawai 208;95;31/12/2021
;Pegawai 209;99;31/12/2021
;Pegawai 210;96;31/12/2021
;Pegawai 211;81;31/12/2021
;Pegawai 212;72;31/12/2021
;Pegawai 213;94;31/12/2021
;Pegawai 214;87;31/12/2021
;Pegawai 215;70;31/12/2021
;Pegawai 216;86;31/12/2021
;Pegawai 217;92;31/12/2021
;Pegawai 218;92;31/12/2021
;Pegawai 219;93;31/12/2021
;Pegawai 220;82;31/12/2021
;Pegawai 221;97;31/12/2021
;Pegawai 222;79;31/12/2021
;Pegawai 223;91;31/12/2021
;Pegawai 224;84;31/12/2021
;Pegawai 225;81;31/12/2021
;Pegawai 226;96;31/12/2021
;Pegawai 227;84;31/12/2021
;Pegawai 228;87;31/12/2021
;Pegawai 229;94;31/12/2021
;Pegawai 230;75;31/12/2021
;Pegawai 231;89;31/12/2021
;Pegawai 232;89;31/12/2021
;Pegawai 233;82;31/12/2021
;Pegawai 234;96;31/12/2021
;Pegawai 235;99;31/12/2021
;Pegawai 236;79;31/12/2021
;Pegawai 237;79;31/12/2021
;Pegawai 238;99;31/12/2021
;Pegawai 239;84;31/12/2021
;Pegawai 240;97;31/12/2021
;Pegawai 241;76;31/12/2021
;Pegawai 242;79;31/12/2021
;Pegawai 243;83;31/12/2021
;Pegawai 244;80;31/12/2021
;Pegawai 245;81;31/12/2021
;Pegawai 246;83;31/12/2021
;Pegawai 247;91;31/12/2021
;Pegawai 248;96;31/12/2021
;Pegawai 249;79;31/12/2021
;Pegawai 250;89;31/12/2021
;Pegawai 251;88;31/12/2021
;Pegawai 252;77;31/12/2021
;Pegawai 253;91;31/12/2021
;Pegawai 254;76;31/12/2021
;Pegawai 255;79;31/12/2021
;Pegawai 256;89;31/12/2021
;Pegawai 257;82;31/12/2021
;Pegawai 258;79;31/12/2021
;Pegawai 259;78;31/12/2021
;Pegawai 260;90;31/12/2021
;Pegawai 261;90;31/12/2021
;Pegawai 262;87;31/12/2021
;Pegawai 263;75;31/12/2021
;Pegawai 264;97;31/12/2021
;Pegawai 265;96;31/12/2021
;Pegawai 266;74;31/12/2021
;Pegawai 267;84;31/12/2021
;Pegawai 268;82;31/12/2021
;Pegawai 269;85;31/12/2021
;Pegawai 270;99;31/12/2021
;Pegawai 271;89;31/12/2021
;Pegawai 272;91;31/12/2021
;Pegawai 273;81;31/12/2021
;Pegawai 274;98;31/12/2021
;Pegawai 275;94;31/12/2021
;Pegawai 276;85;31/12/2021
;Pegawai 277;74;31/12/2021
;Pegawai 278;75;31/12/2021
;Pegawai 279;97;31/12/2021
;Pegawai 280;98;31/12/2021
;Pegawai 281;88;31/12/2021
;Pegawai 282;88;31/12/2021
;Pegawai 283;92;31/12/2021
;Pegawai 284;83;31/12/2021
;Pegawai 285;73;31/12/2021
;Pegawai 286;99;31/12/2021
;Pegawai 287;76;31/12/2021
;Pegawai 288;92;31/12/2021
;Pegawai 289;94;31/12/2021
;Pegawai 290;73;31/12/2021
;Pegawai 291;87;31/12/2021
;Pegawai 292;84;31/12/2021
;Pegawai 293;84;31/12/2021
;Pegawai 294;93;31/12/2021
;Pegawai 295;96;31/12/2021
;Pegawai 296;92;31/12/2021
;Pegawai 297;75;31/12/2021
;Pegawai 298;96;31/12/2021
;Pegawai 299;81;31/12/2021
;Pegawai 300;96;31/12/2021
;Pegawai 301;91;31/12/2021
;Pegawai 302;95;31/12/2021
;Pegawai 303;76;31/12/2021
;Pegawai 304;75;31/12/2021
;Pegawai 305;93;31/12/2021
;Pegawai 306;87;31/12/2021
;Pegawai 307;98;31/12/2021
;Pegawai 308;96;31/12/2021
;Pegawai 309;71;31/12/2021
;Pegawai 310;74;31/12/2021
;Pegawai 311;99;31/12/2021
;Pegawai 312;83;31/12/2021
;Pegawai 313;70;31/12/2021
;Pegawai 314;90;31/12/2021
;Pegawai 315;72;31/12/2021
;Pegawai 316;95;31/12/2021
;Pegawai 317;75;31/12/2021
;Pegawai 318;75;31/12/2021
;Pegawai 319;98;31/12/2021
;Pegawai 320;87;31/12/2021
;Pegawai 321;71;31/12/2021
;Pegawai 322;88;31/12/2021
;Pegawai 323;81;31/12/2021
;Pegawai 324;72;31/12/2021
;Pegawai 325;74;31/12/2021
;Pegawai 326;82;31/12/2021
;Pegawai 327;94;31/12/2021
;Pegawai 328;73;31/12/2021
;Pegawai 329;78;31/12/2021
;Pegawai 330;97;31/12/2021
;Pegawai 331;72;31/12/2021
;Pegawai 332;98;31/12/2021
;Pegawai 333;89;31/12/2021
;Pegawai 334;98;31/12/2021
;Pegawai 335;80;31/12/2021
;Pegawai 336;92;31/12/2021
;Pegawai 337;84;31/12/2021
;Pegawai 338;70;31/12/2021
;Pegawai 339;91;31/12/2021
;Pegawai 340;80;31/12/2021
;Pegawai 341;98;31/12/2021
;Pegawai 342;94;31/12/2021
;Pegawai 343;72;31/12/2021
;Pegawai 344;87;31/12/2021
;Pegawai 345;99;31/12/2021
;Pegawai 346;99;31/12/2021
;Pegawai 347;97;31/12/2021
;Pegawai 348;94;31/12/2021
;Pegawai 349;80;31/12/2021
;Pegawai 350;97;31/12/2021
;Pegawai 351;77;31/12/2021
;Pegawai 352;71;31/12/2021
;Pegawai 353;97;31/12/2021
;Pegawai 354;72;31/12/2021
;Pegawai 355;82;31/12/2021
;Pegawai 356;87;31/12/2021
;Pegawai 357;88;31/12/2021
;Pegawai 358;82;31/12/2021
;Pegawai 359;87;31/12/2021
;Pegawai 360;80;31/12/2021
;Pegawai 361;96;31/12/2021
;Pegawai 362;81;31/12/2021
;Pegawai 363;90;31/12/2021
;Pegawai 364;92;31/12/2021
;Pegawai 365;94;31/12/2021
;Pegawai 366;99;31/12/2021
;Pegawai 367;87;31/12/2021
;Pegawai 368;92;31/12/2021
;Pegawai 369;78;31/12/2021
;Pegawai 370;81;31/12/2021
;Pegawai 371;83;31/12/2021
;Pegawai 372;71;31/12/2021
;Pegawai 373;87;31/12/2021
;Pegawai 374;92;31/12/2021
;Pegawai 375;88;31/12/2021
;Pegawai 376;80;31/12/2021
;Pegawai 377;82;31/12/2021
;Pegawai 378;72;31/12/2021
;Pegawai 379;81;31/12/2021
;Pegawai 380;93;31/12/2021
;Pegawai 381;92;31/12/2021
;Pegawai 382;78;31/12/2021
;Pegawai 383;80;31/12/2021
;Pegawai 384;94;31/12/2021
;Pegawai 385;79;31/12/2021
;Pegawai 386;72;31/12/2021
;Pegawai 387;91;31/12/2021
;Pegawai 388;75;31/12/2021
;Pegawai 389;89;31/12/2021
;Pegawai 390;72;31/12/2021
;Pegawai 391;94;31/12/2021
;Pegawai 392;75;31/12/2021
;Pegawai 393;95;31/12/2021
;Pegawai 394;74;31/12/2021
;Pegawai 395;75;31/12/2021
;Pegawai 396;79;31/12/2021
;Pegawai 397;81;31/12/2021
;Pegawai 398;83;31/12/2021
;Pegawai 399;82;31/12/2021
;Pegawai 400;85;31/12/2021
;Pegawai 401;99;31/12/2021
;Pegawai 402;97;31/12/2021
;Pegawai 403;77;31/12/2021
;Pegawai 404;94;31/12/2021
;Pegawai 405;82;31/12/2021
;Pegawai 406;73;31/12/2021
;Pegawai 407;90;31/12/2021
;Pegawai 408;74;31/12/2021
;Pegawai 409;74;31/12/2021
;Pegawai 410;70;31/12/2021
;Pegawai 411;82;31/12/2021
;Pegawai 412;76;31/12/2021
;Pegawai 413;81;31/12/2021
;Pegawai 414;84;31/12/2021
;Pegawai 415;98;31/12/2021
;Pegawai 416;87;31/12/2021
;Pegawai 417;80;31/12/2021
;Pegawai 418;72;31/12/2021
;Pegawai 419;98;31/12/2021
;Pegawai 420;96;31/12/2021
;Pegawai 421;93;31/12/2021
;Pegawai 422;88;31/12/2021
;Pegawai 423;71;31/12/2021
;Pegawai 424;86;31/12/2021
;Pegawai 425;99;31/12/2021
;Pegawai 426;88;31/12/2021
;Pegawai 427;97;31/12/2021
;Pegawai 428;90;31/12/2021
;Pegawai 429;94;31/12/2021
;Pegawai 430;75;31/12/2021
;Pegawai 431;74;31/12/2021
;Pegawai 432;78;31/12/2021
;Pegawai 433;98;31/12/2021
;Pegawai 434;88;31/12/2021
;Pegawai 435;76;31/12/2021
;Pegawai 436;82;31/12/2021
;Pegawai 437;91;31/12/2021
;Pegawai 438;93;31/12/2021
;Pegawai 439;77;31/12/2021
;Pegawai 440;88;31/12/2021
;Pegawai 441;76;31/12/2021
;Pegawai 442;81;31/12/2021
;Pegawai 443;97;31/12/2021
;Pegawai 444;81;31/12/2021
;Pegawai 445;95;31/12/2021
;Pegawai 446;88;31/12/2021
;Pegawai 447;70;31/12/2021
;Pegawai 448;70;31/12/2021
;Pegawai 449;85;31/12/2021
;Pegawai 450;95;31/12/2021
;Pegawai 451;72;31/12/2021
;Pegawai 452;92;31/12/2021
;Pegawai 453;84;31/12/2021
;Pegawai 454;84;31/12/2021
;Pegawai 455;75;31/12/2021
;Pegawai 456;85;31/12/2021
;Pegawai 457;99;31/12/2021
;Pegawai 458;79;31/12/2021
;Pegawai 459;89;31/12/2021
;Pegawai 460;96;31/12/2021
;Pegawai 461;89;31/12/2021
;Pegawai 462;86;31/12/2021
;Pegawai 463;95;31/12/2021
;Pegawai 464;91;31/12/2021
;Pegawai 465;88;31/12/2021
;Pegawai 466;93;31/12/2021
;Pegawai 467;80;31/12/2021
;Pegawai 468;84;31/12/2021
;Pegawai 469;94;31/12/2021
;Pegawai 470;76;31/12/2021
;Pegawai 471;80;31/12/2021
;Pegawai 472;81;31/12/2021
;Pegawai 473;77;31/12/2021
;Pegawai 474;97;31/12/2021
;Pegawai 475;75;31/12/2021
;Pegawai 476;76;31/12/2021
;Pegawai 477;90;31/12/2021
;Pegawai 478;96;31/12/2021
;Pegawai 479;97;31/12/2021
;Pegawai 480;86;31/12/2021
;Pegawai 481;78;31/12/2021
;Pegawai 482;94;31/12/2021
;Pegawai 483;99;31/12/2021
;Pegawai 484;71;31/12/2021
;Pegawai 485;89;31/12/2021
;Pegawai 486;84;31/12/2021
;Pegawai 487;96;31/12/2021
;Pegawai 488;98;31/12/2021
;Pegawai 489;89;31/12/2021
;Pegawai 490;99;31/12/2021
;Pegawai 491;74;31/12/2021
;Pegawai 492;86;31/12/2021
;Pegawai 493;99;31/12/2021
;Pegawai 494;95;31/12/2021
;Pegawai 495;94;31/12/2021
;Pegawai 496;98;31/12/2021
;Pegawai 497;90;31/12/2021
;Pegawai 498;95;31/12/2021
;Pegawai 499;75;31/12/2021
;Pegawai 500;95;31/12/2021
;Pegawai 501;78;31/12/2021
;Pegawai 502;71;31/12/2021
;Pegawai 503;74;31/12/2021
;Pegawai 504;85;31/12/2021
;Pegawai 505;73;31/12/2021
;Pegawai 506;89;31/12/2021
;Pegawai 507;72;31/12/2021
;Pegawai 508;82;31/12/2021
;Pegawai 509;97;31/12/2021
;Pegawai 510;77;31/12/2021
;Pegawai 511;84;31/12/2021
;Pegawai 512;73;31/12/2021
;Pegawai 513;72;31/12/2021
;Pegawai 514;75;31/12/2021
;Pegawai 515;79;31/12/2021
;Pegawai 516;81;31/12/2021
;Pegawai 517;78;31/12/2021
;Pegawai 518;98;31/12/2021
;Pegawai 519;78;31/12/2021
;Pegawai 520;92;31/12/2021
;Pegawai 521;72;31/12/2021
;Pegawai 522;71;31/12/2021
;Pegawai 523;78;31/12/2021
;Pegawai 524;90;31/12/2021
;Pegawai 525;80;31/12/2021
;Pegawai 526;82;31/12/2021
;Pegawai 527;72;31/12/2021
;Pegawai 528;92;31/12/2021
;Pegawai 529;81;31/12/2021
;Pegawai 530;74;31/12/2021
;Pegawai 531;73;31/12/2021
;Pegawai 532;99;31/12/2021
;Pegawai 533;86;31/12/2021
;Pegawai 534;74;31/12/2021
;Pegawai 535;93;31/12/2021
;Pegawai 536;79;31/12/2021
;Pegawai 537;73;31/12/2021
;Pegawai 538;85;31/12/2021
;Pegawai 539;99;31/12/2021
;Pegawai 540;90;31/12/2021
;Pegawai 541;70;31/12/2021
;Pegawai 542;72;31/12/2021
;Pegawai 543;93;31/12/2021
;Pegawai 544;78;31/12/2021
;Pegawai 545;71;31/12/2021
;Pegawai 546;85;31/12/2021
;Pegawai 547;94;31/12/2021
;Pegawai 548;81;31/12/2021
;Pegawai 549;90;31/12/2021
;Pegawai 550;95;31/12/2021
;Pegawai 551;70;31/12/2021
;Pegawai 552;87;31/12/2021
;Pegawai 553;73;31/12/2021
;Pegawai 554;91;31/12/2021
;Pegawai 555;96;31/12/2021
;Pegawai 556;77;31/12/2021
;Pegawai 557;78;31/12/2021
;Pegawai 558;75;31/12/2021
;Pegawai 559;83;31/12/2021
;Pegawai 560;71;31/12/2021
;Pegawai 561;97;31/12/2021
;Pegawai 562;72;31/12/2021
;Pegawai 563;87;31/12/2021
;Pegawai 564;92;31/12/2021
;Pegawai 565;76;31/12/2021
;Pegawai 566;73;31/12/2021
;Pegawai 567;75;31/12/2021
;Pegawai 568;94;31/12/2021
;Pegawai 569;97;31/12/2021
;Pegawai 570;92;31/12/2021
;Pegawai 571;92;31/12/2021
;Pegawai 572;86;31/12/2021
;Pegawai 573;99;31/12/2021
;Pegawai 574;92;31/12/2021
;Pegawai 575;89;31/12/2021
;Pegawai 576;88;31/12/2021
;Pegawai 577;88;31/12/2021
;Pegawai 578;90;31/12/2021
;Pegawai 579;95;31/12/2021
;Pegawai 580;86;31/12/2021
;Pegawai 581;90;31/12/2021
;Pegawai 582;97;31/12/2021
;Pegawai 583;72;31/12/2021
;Pegawai 584;96;31/12/2021
;Pegawai 585;88;31/12/2021
;Pegawai 586;78;31/12/2021
;Pegawai 587;83;31/12/2021
;Pegawai 588;89;31/12/2021
;Pegawai 589;76;31/12/2021
;Pegawai 590;74;31/12/2021
;Pegawai 591;90;31/12/2021
;Pegawai 592;94;31/12/2021
;Pegawai 593;97;31/12/2021
;Pegawai 594;95;31/12/2021
;Pegawai 595;73;31/12/2021
;Pegawai 596;84;31/12/2021
;Pegawai 597;74;31/12/2021
;Pegawai 598;91;31/12/2021
;Pegawai 599;90;31/12/2021
;Pegawai 600;80;31/12/2021
;Pegawai 601;92;31/12/2021
;Pegawai 602;95;31/12/2021
;Pegawai 603;87;31/12/2021
;Pegawai 604;77;31/12/2021
;Pegawai 605;94;31/12/2021
;Pegawai 606;81;31/12/2021
;Pegawai 607;70;31/12/2021
;Pegawai 608;91;31/12/2021
;Pegawai 609;70;31/12/2021
;Pegawai 610;72;31/12/2021
;Pegawai 611;83;31/12/2021
;Pegawai 612;87;31/12/2021
;Pegawai 613;80;31/12/2021
;Pegawai 614;88;31/12/2021
;Pegawai 615;81;31/12/2021
;Pegawai 616;93;31/12/2021
;Pegawai 617;97;31/12/2021
;Pegawai 618;86;31/12/2021
;Pegawai 619;79;31/12/2021
;Pegawai 620;80;31/12/2021
;Pegawai 621;94;31/12/2021
;Pegawai 622;73;31/12/2021
;Pegawai 623;93;31/12/2021
;Pegawai 624;86;31/12/2021
;Pegawai 625;71;31/12/2021
;Pegawai 626;91;31/12/2021
;Pegawai 627;77;31/12/2021
;Pegawai 628;84;31/12/2021
;Pegawai 629;90;31/12/2021
;Pegawai 630;73;31/12/2021
;Pegawai 631;94;31/12/2021
;Pegawai 632;83;31/12/2021
;Pegawai 633;80;31/12/2021
;Pegawai 634;86;31/12/2021
;Pegawai 635;72;31/12/2021
;Pegawai 636;72;31/12/2021
;Pegawai 637;78;31/12/2021
;Pegawai 638;78;31/12/2021
;Pegawai 639;89;31/12/2021
;Pegawai 640;95;31/12/2021
;Pegawai 641;91;31/12/2021
;Pegawai 642;89;31/12/2021
;Pegawai 643;87;31/12/2021
;Pegawai 644;91;31/12/2021
;Pegawai 645;70;31/12/2021
;Pegawai 646;86;31/12/2021
;Pegawai 647;78;31/12/2021
;Pegawai 648;86;31/12/2021
;Pegawai 649;96;31/12/2021
;Pegawai 650;73;31/12/2021
;Pegawai 651;79;31/12/2021
;Pegawai 652;78;31/12/2021
;Pegawai 653;75;31/12/2021
;Pegawai 654;93;31/12/2021
;Pegawai 655;97;31/12/2021
;Pegawai 656;83;31/12/2021
;Pegawai 657;91;31/12/2021
;Pegawai 658;76;31/12/2021
;Pegawai 659;76;31/12/2021
;Pegawai 660;78;31/12/2021
;Pegawai 661;77;31/12/2021
;Pegawai 662;89;31/12/2021
;Pegawai 663;73;31/12/2021
;Pegawai 664;82;31/12/2021
;Pegawai 665;87;31/12/2021
;Pegawai 666;78;31/12/2021
;Pegawai 667;94;31/12/2021
;Pegawai 668;81;31/12/2021
;Pegawai 669;94;31/12/2021
;Pegawai 670;76;31/12/2021
;Pegawai 671;87;31/12/2021
;Pegawai 672;87;31/12/2021
;Pegawai 673;87;31/12/2021
;Pegawai 674;82;31/12/2021
;Pegawai 675;72;31/12/2021
;Pegawai 676;85;31/12/2021
;Pegawai 677;83;31/12/2021
;Pegawai 678;94;31/12/2021
;Pegawai 679;71;31/12/2021
;Pegawai 680;84;31/12/2021
;Pegawai 681;83;31/12/2021
;Pegawai 682;78;31/12/2021
;Pegawai 683;83;31/12/2021
;Pegawai 684;88;31/12/2021
;Pegawai 685;79;31/12/2021
;Pegawai 686;99;31/12/2021
;Pegawai 687;84;31/12/2021
;Pegawai 688;70;31/12/2021
;Pegawai 689;75;31/12/2021
;Pegawai 690;80;31/12/2021
;Pegawai 691;95;31/12/2021
;Pegawai 692;99;31/12/2021
;Pegawai 693;75;31/12/2021
;Pegawai 694;81;31/12/2021
;Pegawai 695;98;31/12/2021
;Pegawai 696;81;31/12/2021
;Pegawai 697;90;31/12/2021
;Pegawai 698;83;31/12/2021
;Pegawai 699;75;31/12/2021
;Pegawai 700;91;31/12/2021
;Pegawai 701;92;31/12/2021
;Pegawai 702;73;31/12/2021
;Pegawai 703;89;31/12/2021
;Pegawai 704;95;31/12/2021
;Pegawai 705;97;31/12/2021
;Pegawai 706;90;31/12/2021
;Pegawai 707;97;31/12/2021
;Pegawai 708;72;31/12/2021
;Pegawai 709;93;31/12/2021
;Pegawai 710;99;31/12/2021
;Pegawai 711;78;31/12/2021
;Pegawai 712;75;31/12/2021
;Pegawai 713;83;31/12/2021
;Pegawai 714;90;31/12/2021
;Pegawai 715;75;31/12/2021
;Pegawai 716;86;31/12/2021
;Pegawai 717;83;31/12/2021
;Pegawai 718;83;31/12/2021
;Pegawai 719;81;31/12/2021
;Pegawai 720;72;31/12/2021
;Pegawai 721;81;31/12/2021
;Pegawai 722;70;31/12/2021
;Pegawai 723;82;31/12/2021
;Pegawai 724;97;31/12/2021
;Pegawai 725;94;31/12/2021
;Pegawai 726;98;31/12/2021
;Pegawai 727;87;31/12/2021
;Pegawai 728;93;31/12/2021
;Pegawai 729;70;31/12/2021
;Pegawai 730;78;31/12/2021
;Pegawai 731;85;31/12/2021
;Pegawai 732;91;31/12/2021
;Pegawai 733;74;31/12/2021
;Pegawai 734;98;31/12/2021
;Pegawai 735;93;31/12/2021
;Pegawai 736;85;31/12/2021
;Pegawai 737;84;31/12/2021
;Pegawai 738;82;31/12/2021
;Pegawai 739;76;31/12/2021
;Pegawai 740;99;31/12/2021
;Pegawai 741;80;31/12/2021
;Pegawai 742;84;31/12/2021
;Pegawai 743;72;31/12/2021
;Pegawai 744;81;31/12/2021
;Pegawai 745;80;31/12/2021
;Pegawai 746;88;31/12/2021
;Pegawai 747;87;31/12/2021
;Pegawai 748;82;31/12/2021
;Pegawai 749;77;31/12/2021
;Pegawai 750;81;31/12/2021
;Pegawai 751;74;31/12/2021
;Pegawai 752;88;31/12/2021
;Pegawai 753;80;31/12/2021
;Pegawai 754;75;31/12/2021
;Pegawai 755;95;31/12/2021
;Pegawai 756;72;31/12/2021
;Pegawai 757;77;31/12/2021
;Pegawai 758;76;31/12/2021
;Pegawai 759;70;31/12/2021
;Pegawai 760;90;31/12/2021
;Pegawai 761;74;31/12/2021
;Pegawai 762;91;31/12/2021
;Pegawai 763;81;31/12/2021
;Pegawai 764;88;31/12/2021
;Pegawai 765;74;31/12/2021
;Pegawai 766;81;31/12/2021
;Pegawai 767;93;31/12/2021
;Pegawai 768;71;31/12/2021
;Pegawai 769;74;31/12/2021
;Pegawai 770;88;31/12/2021
;Pegawai 771;87;31/12/2021
;Pegawai 772;86;31/12/2021
;Pegawai 773;84;31/12/2021
