pegawai_sertifikasi_id;pegawai_nama;sertifikasi_nama;pegawai_serti;Sertifikasi_akhir
;Pegawai 998;Certified State Finance Auditor;18/12/2021;31/12/2029
;Pegawai 1819;Certificate in International Auditing;01/11/2021;31/12/2029
;Pegawai 1933;Certified Legal Auditor;29/04/2021;31/12/2029
;Pegawai 1128;Certified Professional Coach;16/03/2018;31/12/2029
;Pegawai 1026;Certified Sustainability Reporting Specialist;15/05/2018;31/12/2029
;Pegawai 1574;Certified Professional Management Accountant;08/07/2019;31/12/2029
;Pegawai 1312;Asean Engineeer;19/03/2019;31/12/2029
;Pegawai 649;Certified Forensic Auditor;21/12/2019;31/12/2029
;Pegawai 1738;Certified Risk Management Professional;22/08/2020;31/12/2029
;Pegawai 826;Certified Government Accounting Associate;25/01/2021;31/12/2029
;Pegawai 26;Certified Secure Computer User;11/02/2022;31/12/2029
;Pegawai 1821;Certified Legal Auditor;16/05/2022;31/12/2029
;Pegawai 163;Certified Financial Planner;17/10/2019;31/12/2029
;Pegawai 982;Certified Internal Control Auditor;30/01/2018;31/12/2029
;Pegawai 1505;Certificate in International Auditing;19/02/2020;31/12/2029
;Pegawai 6;Certified Ethical Hacker;04/01/2020;31/12/2029
;Pegawai 291;Loop Certified Corporate Coach;02/06/2019;31/12/2029
;Pegawai 98;Qualified Internal Auditor;18/10/2022;31/12/2029
;Pegawai 1133;Certified Manpower Planner;27/03/2020;31/12/2029
;Pegawai 867;Certified RIsk Associate;28/01/2020;31/12/2029
;Pegawai 191;Certified Fraud Examiner;22/11/2018;31/12/2029
;Pegawai 1591;Ahli Akuntansi Pemerintahan A;21/06/2022;31/12/2029
;Pegawai 1885;Governance Risk Management and Compliance Professional;20/11/2020;31/12/2029
;Pegawai 763;Certified Government Chief Audit Executive;15/10/2021;31/12/2029
;Pegawai 1587;Certificate in International Auditing;21/06/2022;31/12/2029
;Pegawai 608;Certificate in International Public Sector Accounting Standards;13/08/2019;31/12/2029
;Pegawai 1116;Chartered Accountant;03/09/2018;31/12/2029
;Pegawai 1977;Certificate in International Public Sector Accounting Standards;26/11/2021;31/12/2029
;Pegawai 954;Sertifikasi Change Management;28/06/2019;31/12/2029
;Pegawai 585;Certified Ethical Hacker;17/11/2021;31/12/2029
;Pegawai 1529;Asean Engineeer;28/03/2021;31/12/2029
;Pegawai 1881;Certified Financial Planner;07/09/2018;31/12/2029
;Pegawai 1214;Sertifikasi Change Management;03/07/2020;31/12/2029
;Pegawai 1995;Certified Sustainability Reporting Specialist;21/10/2018;31/12/2029
;Pegawai 568;Cyber Security Foundation Professional;19/06/2019;31/12/2029
;Pegawai 1163;Cellebrite Certified Officer;04/09/2021;31/12/2029
;Pegawai 521;Certified Contract Management Specialist;06/12/2021;31/12/2029
;Pegawai 954;Certificate in Data Analytics;02/08/2018;31/12/2029
;Pegawai 700;Corporate Forensic Auditor;07/10/2019;31/12/2029
;Pegawai 324;Certified IPSAS Specialist;14/11/2019;31/12/2029
;Pegawai 1372;Insinyur Professional Madya;26/11/2022;31/12/2029
;Pegawai 739;Certified Risk Management Officer;12/09/2018;31/12/2029
;Pegawai 157;Certified Government Chief Audit Executive;27/10/2020;31/12/2029
;Pegawai 237;Certified RIsk Associate;30/12/2019;31/12/2029
;Pegawai 473;Certified Ethical Hacker;19/02/2021;31/12/2029
;Pegawai 209;Certified Fraud Examiner;09/01/2019;31/12/2029
;Pegawai 1772;Certified Government Auditing Professional;02/04/2018;31/12/2029
;Pegawai 1790;Cellebrite Certified Physical Analyst;02/07/2021;31/12/2029
;Pegawai 1739;Certified Corporate Coach;22/02/2018;31/12/2029
;Pegawai 581;Ahli Akuntansi Pemerintahan A;17/07/2018;31/12/2029
;Pegawai 116;Cyber Security Foundation Professional;10/06/2020;31/12/2029
;Pegawai 908;Certified Public Accountant;22/07/2018;31/12/2029
;Pegawai 517;Sertifikasi Change Management;15/09/2020;31/12/2029
;Pegawai 267;Certified Management Accountants;18/01/2018;31/12/2029
;Pegawai 404;Certified Secure Computer User;16/08/2018;31/12/2029
;Pegawai 372;Certified Public Accountant;11/09/2022;31/12/2029
;Pegawai 261;Certified Government Chief Audit Executive;23/07/2018;31/12/2029
;Pegawai 232;Certificate in International Auditing;04/02/2020;31/12/2029
;Pegawai 1725;Certified Human Resources Management Professional;14/05/2021;31/12/2029
;Pegawai 592;Certified Grafologie Analyst;22/12/2021;31/12/2029
;Pegawai 1985;Akuntan;09/12/2021;31/12/2029
;Pegawai 938;Certified Ethical Hacker;09/06/2019;31/12/2029
;Pegawai 519;Certified Government Auditing Professional;28/12/2022;31/12/2029
;Pegawai 1994;Certificate in International Public Sector Accounting Standards;09/11/2020;31/12/2029
;Pegawai 452;Loop Certified Corporate Coach;01/03/2021;31/12/2029
;Pegawai 1105;Qualified Risk Management Officer;10/06/2018;31/12/2029
;Pegawai 74;Cisco Certified Network Associate;04/07/2021;31/12/2029
;Pegawai 899;Certificate in International Auditing;27/03/2018;31/12/2029
;Pegawai 297;Certification in Risk Management Assurance;04/10/2019;31/12/2029
;Pegawai 1866;Certified Pernyataan Standar Akuntansi Keuangan;25/11/2021;31/12/2029
;Pegawai 1770;Certificate in Data Analytics;28/03/2018;31/12/2029
;Pegawai 851;Certified State Finance Auditor;19/10/2019;31/12/2029
;Pegawai 1181;ASEAN Chartered Professional Accountant;26/06/2018;31/12/2029
;Pegawai 1640;Ahli Akuntansi Pemerintahan A;20/08/2018;31/12/2029
;Pegawai 881;Certified Professional Coach;01/11/2020;31/12/2029
;Pegawai 685;Governance  Risk Management and Compliance Audit;22/02/2019;31/12/2029
;Pegawai 931;Certified Secure Computer User;26/09/2018;31/12/2029
;Pegawai 1609;Qualified Risk Management Professional;20/02/2018;31/12/2029
;Pegawai 1161;Advanced Diploma in Forensic Accounting - Level 5;08/09/2018;31/12/2029
;Pegawai 1859;Certified Information System Auditors;05/06/2018;31/12/2029
;Pegawai 818;Certificate in International Auditing;05/10/2022;31/12/2029
;Pegawai 828;Certified Procurement Specialist;03/12/2018;31/12/2029
;Pegawai 1894;Cerified Sustainability Reporting Assurer;20/12/2019;31/12/2029
;Pegawai 1010;ASEAN Chartered Professional Accountant;19/09/2019;31/12/2029
;Pegawai 74;Akuntan;25/03/2019;31/12/2029
;Pegawai 822;Certified Internal Audit Officer;09/02/2021;31/12/2029
;Pegawai 1190;Certified Ethical Hacker;12/07/2019;31/12/2029
;Pegawai 959;Cellebrite Certified Physical Analyst;16/10/2020;31/12/2029
;Pegawai 225;Certified Human Resources Management Professional;01/02/2021;31/12/2029
;Pegawai 1464;Certified Data Centre Professional;14/08/2020;31/12/2029
;Pegawai 730;Certified Sustainability Practitioner;11/07/2018;31/12/2029
;Pegawai 1058;Certificate in International Auditing;18/07/2020;31/12/2029
;Pegawai 1455;Certified Corporate Coach;22/05/2022;31/12/2029
;Pegawai 1717;Qualified Government Internal Auditor;03/11/2019;31/12/2029
;Pegawai 496;Ahli Akuntansi Pemerintahan;23/12/2022;31/12/2029
;Pegawai 1804;Certified Professional Coach;08/07/2021;31/12/2029
;Pegawai 1330;Certificate in International Auditing;11/07/2019;31/12/2029
;Pegawai 332;Teknisi Akuntansi;05/06/2021;31/12/2029
;Pegawai 811;Certified Public Accountant;02/12/2018;31/12/2029
;Pegawai 977;Certified Professional Management Accountant;19/05/2019;31/12/2029
;Pegawai 892;Certified Information System Auditors;21/12/2018;31/12/2029
;Pegawai 451;Certified Professional Coach;04/04/2021;31/12/2029
;Pegawai 332;Certified IPSAS Specialist;28/10/2022;31/12/2029
;Pegawai 402;Certified Sustainability Reporting Specialist;20/02/2020;31/12/2029
;Pegawai 1215;Certified Pernyataan Standar Akuntansi Keuangan;18/03/2021;31/12/2029
;Pegawai 1198;Cisco Certified Network Associate;10/06/2022;31/12/2029
;Pegawai 1700;Insinyur Professional Madya;23/11/2019;31/12/2029
;Pegawai 545;Certified Financial Planner;08/08/2019;31/12/2029
;Pegawai 307;Cyber Security Foundation Professional;16/11/2022;31/12/2029
;Pegawai 1552;Oxygen Forensic Certified;02/08/2021;31/12/2029
;Pegawai 1945;Certified Government Chief Audit Executive;07/02/2020;31/12/2029
;Pegawai 899;Cellebrite Certified Officer;29/05/2018;31/12/2029
;Pegawai 1516;Qualified Government Internal Auditor;26/12/2019;31/12/2029
;Pegawai 276;Enterprise Risk Management Certified Professional;20/11/2019;31/12/2029
;Pegawai 1867;Certified Human Resources Management Professional (CHRMP);27/03/2022;31/12/2029
;Pegawai 987;Certified Hacking Forensic Investigator;13/10/2018;31/12/2029
;Pegawai 1084;Cellebrite Certified Physical Analyst;21/06/2022;31/12/2029
;Pegawai 1037;Certified Management Accountants;03/03/2019;31/12/2029
;Pegawai 490;Certified Procurement Specialist;26/09/2019;31/12/2029
;Pegawai 1466;Certificate in International Public Sector Accounting Standards;10/03/2022;31/12/2029
;Pegawai 1821;Certified Corporate Coach;03/02/2022;31/12/2029
;Pegawai 1888;Certificate in International Public Sector Accounting Standards;31/05/2018;31/12/2029
;Pegawai 1548;Certified Government Chief Audit Executive;15/08/2019;31/12/2029
;Pegawai 1404;Certified Human Resources Professional;24/04/2021;31/12/2029
;Pegawai 1828;Enterprise Risk Management Associate Professional;15/09/2019;31/12/2029
;Pegawai 1628;Certified Procurement Specialist;14/01/2018;31/12/2029
;Pegawai 407;Qualified Risk Management Professional;22/09/2019;31/12/2029
;Pegawai 1694;Certification in Risk Management Assurance;30/04/2018;31/12/2029
;Pegawai 1793;Certified Human Resources Specialist;22/03/2022;31/12/2029
;Pegawai 856;Corporate Forensic Auditor;14/02/2019;31/12/2029
;Pegawai 1781;Qualified Government Internal Auditor;25/08/2019;31/12/2029
;Pegawai 842;Chartered Accountant;11/09/2019;31/12/2029
;Pegawai 686;Loop Certified Corporate Coach;01/06/2022;31/12/2029
;Pegawai 219;Certificate in International Public Sector Accounting Standards;02/06/2020;31/12/2029
;Pegawai 1844;Advanced Diploma in Forensic Accounting - Level 5;19/08/2020;31/12/2029
;Pegawai 1142;Certified Risk Management Officer;21/03/2018;31/12/2029
;Pegawai 1566;Qualified Risk Management Professional;31/07/2020;31/12/2029
;Pegawai 451;Qualified Risk Management Officer;22/04/2022;31/12/2029
;Pegawai 1491;Certified Sustainability Practitioner;07/09/2018;31/12/2029
;Pegawai 1669;Cellebrite Certified Officer;02/08/2021;31/12/2029
;Pegawai 1550;Certificate in International Public Sector Accounting Standards;01/04/2020;31/12/2029
;Pegawai 1307;Certified Human Resources Management Professional;15/12/2021;31/12/2029
;Pegawai 844;Certified Pernyataan Standar Akuntansi Keuangan;08/12/2020;31/12/2029
;Pegawai 1971;Certified Fraud Examiner;11/10/2018;31/12/2029
;Pegawai 613;Certified Contract Management Specialist;16/11/2021;31/12/2029
;Pegawai 1019;Enterprise Risk Management Certified Professional;15/05/2019;31/12/2029
;Pegawai 71;Certification in Control Self-Assessment;29/08/2022;31/12/2029
;Pegawai 370;Certified Government Chief Audit Executive;20/11/2020;31/12/2029
;Pegawai 1126;Certified Internal Audit Officer;25/10/2021;31/12/2029
;Pegawai 617;Associate Certified Public Accountant;25/02/2019;31/12/2029
;Pegawai 351;Certificate in International Auditing;07/11/2022;31/12/2029
;Pegawai 215;Certified Grafologie Analyst;24/11/2019;31/12/2029
;Pegawai 1364;Cellebrite Certified Officer;26/05/2020;31/12/2029
;Pegawai 221;Certified Internal Audit Officer;07/09/2022;31/12/2029
;Pegawai 1543;Certificate in International Auditing;21/12/2021;31/12/2029
;Pegawai 213;Cellebrite Certified Physical Analyst;30/08/2022;31/12/2029
;Pegawai 1078;Corporate Forensic Auditor;15/02/2022;31/12/2029
;Pegawai 174;Certificate in International Auditing;20/11/2020;31/12/2029
;Pegawai 680;Enterprise Risk Management Certified Professional;22/10/2022;31/12/2029
;Pegawai 1188;Certified Sustainability Practitioner;24/05/2018;31/12/2029
;Pegawai 1806;Cyber Security Foundation Professional;29/08/2022;31/12/2029
;Pegawai 1577;Ahli Akuntansi Pemerintahan B;22/12/2019;31/12/2029
;Pegawai 329;Certificate in International Public Sector Accounting Standards;27/09/2021;31/12/2029
;Pegawai 1063;Certified Sustainability Reporting Specialist;09/11/2022;31/12/2029
;Pegawai 1033;Certified Data Centre Professional;18/11/2021;31/12/2029
;Pegawai 1585;Certified Internal Auditor;01/03/2018;31/12/2029
;Pegawai 699;Certified Risk Management Professional;14/09/2019;31/12/2029
;Pegawai 224;Certified Financial Planner;09/12/2020;31/12/2029
;Pegawai 1083;Certified Financial Planner;27/06/2018;31/12/2029
;Pegawai 779;Certified Ethical Hacker;28/07/2018;31/12/2029
;Pegawai 332;Certified Financial Planner;14/09/2018;31/12/2029
;Pegawai 1322;Ahli Akuntansi Pemerintahan A;22/02/2020;31/12/2029
;Pegawai 1386;Oxygen Forensic Certified;13/06/2021;31/12/2029
;Pegawai 1403;Corporate Forensic Auditor;14/11/2019;31/12/2029
;Pegawai 876;Akuntan;06/06/2021;31/12/2029
;Pegawai 848;Certified Fraud Examiner;14/09/2019;31/12/2029
;Pegawai 1712;Certified State Finance Auditor;24/02/2021;31/12/2029
;Pegawai 1414;Certified Human Resources Management Professional (CHRMP);05/09/2019;31/12/2029
;Pegawai 1514;Certificate in International Auditing;29/01/2019;31/12/2029
;Pegawai 773;Certified Contract Management Specialist;23/07/2019;31/12/2029
;Pegawai 645;Certified Internal Audit Officer;18/06/2022;31/12/2029
;Pegawai 1438;Certified Human Resources Analyst;11/06/2019;31/12/2029
;Pegawai 170;Certified Information System Auditors;28/08/2018;31/12/2029
;Pegawai 301;Certified Public Accountant;05/09/2021;31/12/2029
;Pegawai 553;Certified Information System Auditors;01/05/2021;31/12/2029
;Pegawai 1278;Teknisi Akuntansi;21/12/2018;31/12/2029
;Pegawai 1502;Cisco Certified Network Associate;18/03/2022;31/12/2029
;Pegawai 726;Certification in Control Self-Assessment;09/05/2018;31/12/2029
;Pegawai 1630;Certification in Risk Management Assurance;13/01/2019;31/12/2029
;Pegawai 1399;Certified Professional Management Accountant;18/01/2019;31/12/2029
;Pegawai 837;Certified Ethical Hacker;24/06/2022;31/12/2029
;Pegawai 726;Associate Certified Public Accountant;11/03/2022;31/12/2029
;Pegawai 1591;Certified Risk Management Officer;23/02/2021;31/12/2029
;Pegawai 275;Certified Information System Auditors;30/07/2021;31/12/2029
;Pegawai 309;Certified Secure Computer User;23/05/2021;31/12/2029
;Pegawai 324;Certified Professional Coach;06/05/2021;31/12/2029
;Pegawai 1045;Corporate Forensic Auditor;29/12/2022;31/12/2029
;Pegawai 1496;Qualified Risk Management Professional;08/12/2018;31/12/2029
;Pegawai 983;Certified Professional Management Accountant;10/03/2018;31/12/2029
;Pegawai 867;Ahli Akuntansi Pemerintahan B;10/11/2022;31/12/2029
;Pegawai 236;Ahli Akuntansi Pemerintahan A;03/11/2022;31/12/2029
;Pegawai 1804;Oxygen Forensic Certified;24/12/2018;31/12/2029
;Pegawai 1529;Certified Procurement Specialist;30/09/2021;31/12/2029
;Pegawai 1431;Certified Fraud Examiner;09/07/2019;31/12/2029
;Pegawai 1943;Certified Internal Audit Officer;11/04/2020;31/12/2029
;Pegawai 264;Teknisi Akuntansi;15/11/2019;31/12/2029
;Pegawai 1363;Certified Risk Management Officer;12/08/2021;31/12/2029
;Pegawai 1869;Advanced Diploma in Forensic Accounting - Level 5;26/06/2022;31/12/2029
;Pegawai 1942;Ahli Akuntansi Pemerintahan A;07/10/2022;31/12/2029
;Pegawai 1227;Certified Legal Auditor;08/07/2021;31/12/2029
;Pegawai 491;Certified Human Resources Management Professional (CHRMP);12/10/2022;31/12/2029
;Pegawai 38;Certified Risk Professional;15/12/2020;31/12/2029
;Pegawai 1524;Ahli Akuntansi Pemerintahan;02/09/2022;31/12/2029
;Pegawai 495;Advanced Diploma in Forensic Accounting - Level 5;18/08/2018;31/12/2029
;Pegawai 537;Certified Pernyataan Standar Akuntansi Keuangan;13/12/2020;31/12/2029
;Pegawai 1972;Corporate Forensic Auditor;05/10/2022;31/12/2029
;Pegawai 577;Cisco Certified Network Associate;02/05/2022;31/12/2029
;Pegawai 1075;Certified Sustainability Reporting Specialist;28/10/2021;31/12/2029
;Pegawai 1608;Certified Government Chief Audit Executive;02/07/2022;31/12/2029
;Pegawai 212;Certified Ethical Hacker;31/03/2020;31/12/2029
;Pegawai 1713;Ahli Akuntansi Pemerintahan;21/04/2022;31/12/2029
;Pegawai 783;Cellebrite Certified Operator;17/05/2018;31/12/2029
;Pegawai 213;Governance  Risk Management and Compliance Audit;21/08/2020;31/12/2029
;Pegawai 693;Qualified Internal Auditor;14/04/2019;31/12/2029
;Pegawai 351;Certified Professional Talent Management;13/04/2019;31/12/2029
;Pegawai 1100;Loop Certified Corporate Coach;05/11/2019;31/12/2029
;Pegawai 486;Akuntan;06/03/2019;31/12/2029
;Pegawai 1979;Certified RIsk Associate;06/11/2020;31/12/2029
;Pegawai 141;Certified Human Resources Specialist;04/10/2021;31/12/2029
;Pegawai 661;Certified Government Accounting Associate;14/10/2021;31/12/2029
;Pegawai 1763;Ahli Akuntansi Pemerintahan;24/12/2021;31/12/2029
;Pegawai 153;Certified Manpower Planner;10/01/2020;31/12/2029
;Pegawai 1662;Cisco Certified Network Associate;16/10/2020;31/12/2029
;Pegawai 1521;Certified Data Centre Professional;25/10/2021;31/12/2029
;Pegawai 1717;Certified Management Accountants;05/03/2022;31/12/2029
;Pegawai 281;Certificate in Data Analytics;14/09/2018;31/12/2029
;Pegawai 858;Cellebrite Certified Physical Analyst;14/10/2019;31/12/2029
;Pegawai 297;Cisco Certified Network Associate;07/02/2018;31/12/2029
;Pegawai 131;Oxygen Forensic Certified;13/05/2020;31/12/2029
;Pegawai 1803;Certified Sustainability Reporting Specialist;20/01/2021;31/12/2029
;Pegawai 1150;Certified Professional Coach;12/08/2020;31/12/2029
;Pegawai 519;Certified Human Resources Professional;07/10/2019;31/12/2029
;Pegawai 489;Certificate in Data Analytics;02/11/2022;31/12/2029
;Pegawai 831;Certificate in International Auditing;29/10/2019;31/12/2029
;Pegawai 798;Certified Professional Management Accountant;27/06/2018;31/12/2029
;Pegawai 1369;Ahli Akuntansi Pemerintahan;11/02/2018;31/12/2029
;Pegawai 1781;Cellebrite Certified Operator;19/10/2021;31/12/2029
;Pegawai 1282;Certified Internal Audit Officer;14/09/2019;31/12/2029
;Pegawai 529;Ahli Akuntansi Pemerintahan A;17/01/2021;31/12/2029
;Pegawai 1589;Certified RIsk Associate;13/05/2022;31/12/2029
;Pegawai 651;Sertifikasi Change Management;02/10/2018;31/12/2029
;Pegawai 1883;Certified State Finance Auditor;12/10/2019;31/12/2029
;Pegawai 473;Certified Data Centre Professional;29/10/2020;31/12/2029
;Pegawai 1625;Enterprise Risk Management Associate Professional;08/11/2021;31/12/2029
;Pegawai 661;Certified Internal Control Auditor;24/07/2022;31/12/2029
;Pegawai 710;AccessData Certified Examiner;24/12/2020;31/12/2029
;Pegawai 1890;Qualified Risk Management Professional;12/12/2018;31/12/2029
;Pegawai 230;Certified Data Centre Professional;25/04/2020;31/12/2029
;Pegawai 1944;Enterprise Risk Management Associate Professional;03/01/2020;31/12/2029
;Pegawai 411;Certified Financial Planner;05/10/2019;31/12/2029
;Pegawai 1557;Ahli Akuntansi Pemerintahan;20/02/2018;31/12/2029
;Pegawai 402;Cellebrite Certified Officer;18/02/2022;31/12/2029
;Pegawai 1620;Certified State Finance Auditor;04/08/2020;31/12/2029
;Pegawai 556;Certified Manpower Planner;30/04/2022;31/12/2029
;Pegawai 1768;Cellebrite Certified Physical Analyst;22/01/2019;31/12/2029
;Pegawai 1809;Certified Professional Coach;19/10/2020;31/12/2029
;Pegawai 1659;Advanced Diploma in Forensic Accounting - Level 5;23/03/2020;31/12/2029
;Pegawai 458;Cellebrite Certified Physical Analyst;12/12/2018;31/12/2029
;Pegawai 1828;Certified Human Resources Management Professional (CHRMP);15/05/2019;31/12/2029
;Pegawai 1821;Certified Public Accountant;09/05/2019;31/12/2029
;Pegawai 1786;Certified Manpower Planner;20/02/2019;31/12/2029
;Pegawai 1160;Certified Ethical Hacker;16/03/2018;31/12/2029
;Pegawai 1520;Certified Legal Auditor;05/01/2020;31/12/2029
;Pegawai 1648;Certified Internal Audit Officer;27/03/2020;31/12/2029
;Pegawai 1346;Associate Certified Public Accountant;09/12/2019;31/12/2029
;Pegawai 1226;Advanced Diploma in Forensic Accounting - Level 5;11/10/2020;31/12/2029
;Pegawai 872;Ahli Akuntansi Pemerintahan;09/06/2019;31/12/2029
;Pegawai 857;Certified Human Resources Professional;23/01/2022;31/12/2029
;Pegawai 1511;Certified Professional Talent Management;03/02/2021;31/12/2029
;Pegawai 1457;Certified Forensic Auditor;06/08/2019;31/12/2029
;Pegawai 296;Certified Information System Auditors;25/06/2019;31/12/2029
;Pegawai 821;Certified Human Resources Analyst;16/10/2018;31/12/2029
;Pegawai 1572;Advanced Diploma in Forensic Accounting - Level 5;14/11/2021;31/12/2029
;Pegawai 228;EnCase Certified Examiner;09/01/2021;31/12/2029
;Pegawai 1058;Cerified Sustainability Reporting Assurer;18/06/2019;31/12/2029
;Pegawai 85;Certified Management Accountants;01/05/2022;31/12/2029
;Pegawai 736;Certified Sustainability Reporting Specialist;17/07/2019;31/12/2029
;Pegawai 1050;Certified Human Resources Analyst;10/08/2019;31/12/2029
;Pegawai 1582;Ahli Akuntansi Pemerintahan;01/03/2020;31/12/2029
;Pegawai 1777;Certified Management Accountants;06/05/2019;31/12/2029
;Pegawai 335;Certified Manpower Planner;03/09/2022;31/12/2029
;Pegawai 504;Certified Professional Talent Management;13/06/2021;31/12/2029
;Pegawai 1512;ASEAN Chartered Professional Accountant;20/03/2020;31/12/2029
;Pegawai 559;Certified Pernyataan Standar Akuntansi Keuangan;17/07/2021;31/12/2029
;Pegawai 600;Certified Internal Auditor;08/05/2018;31/12/2029
;Pegawai 1983;Certified Procurement Specialist;07/04/2019;31/12/2029
;Pegawai 787;Certified Professional Coach;02/03/2019;31/12/2029
;Pegawai 1236;Certified Human Resources Professional;05/10/2021;31/12/2029
;Pegawai 682;Certification in Control Self-Assessment;04/02/2018;31/12/2029
;Pegawai 364;Certified Forensic Auditor;11/02/2018;31/12/2029
;Pegawai 61;Certified Human Resources Management Professional (CHRMP);11/09/2018;31/12/2029
;Pegawai 1322;Certificate in International Auditing;19/11/2019;31/12/2029
;Pegawai 1498;Certified Human Resources Management Professional (CHRMP);01/09/2022;31/12/2029
;Pegawai 990;Certified State Finance Auditor;22/09/2018;31/12/2029
;Pegawai 1552;Certified Risk Professional;09/04/2018;31/12/2029
;Pegawai 1870;Certified Accounting Technician;06/09/2022;31/12/2029
;Pegawai 254;AccessData Certified Examiner;17/09/2019;31/12/2029
;Pegawai 1983;Certified Internal Control Auditor;10/11/2022;31/12/2029
;Pegawai 1337;Asean Engineeer;19/03/2021;31/12/2029
;Pegawai 894;EnCase Certified Examiner;19/03/2018;31/12/2029
;Pegawai 391;Certified Risk Management Officer;06/05/2022;31/12/2029
;Pegawai 1369;Certified IPSAS Specialist;14/05/2022;31/12/2029
;Pegawai 769;Governance Risk Management and Compliance Professional;21/07/2021;31/12/2029
;Pegawai 327;Certified Accounting Technician;30/05/2019;31/12/2029
;Pegawai 1505;Enterprise Risk Management Associate Professional;20/04/2018;31/12/2029
;Pegawai 324;Oxygen Forensic Certified;16/03/2022;31/12/2029
;Pegawai 1247;ASEAN Chartered Professional Accountant;28/10/2022;31/12/2029
;Pegawai 1320;Ahli Akuntansi Pemerintahan B;01/10/2020;31/12/2029
;Pegawai 69;Teknisi Akuntansi;27/12/2019;31/12/2029
;Pegawai 81;Certified Government Auditing Professional;12/09/2018;31/12/2029
;Pegawai 399;Certified Human Resources Professional;06/12/2020;31/12/2029
;Pegawai 1695;Certified Human Resources Analyst;28/05/2019;31/12/2029
;Pegawai 502;Certified Secure Computer User;11/07/2018;31/12/2029
;Pegawai 1028;Certified Professional Coach;31/10/2019;31/12/2029
;Pegawai 1509;Certified Manpower Planner;12/08/2022;31/12/2029
;Pegawai 1630;Enterprise Risk Management Certified Professional;17/06/2018;31/12/2029
;Pegawai 1950;Certified Internal Audit Officer;17/05/2022;31/12/2029
;Pegawai 1673;Cellebrite Certified Physical Analyst;11/04/2018;31/12/2029
;Pegawai 1763;Certified Human Resources Professional;14/01/2020;31/12/2029
;Pegawai 1319;Certified IPSAS Specialist;12/01/2020;31/12/2029
;Pegawai 1033;Certified Data Centre Professional;22/05/2019;31/12/2029
;Pegawai 368;ASEAN Chartered Professional Accountant;17/08/2020;31/12/2029
;Pegawai 1047;Ahli Akuntansi Pemerintahan B;30/05/2022;31/12/2029
;Pegawai 1725;Certificate in International Public Sector Accounting Standards;24/09/2021;31/12/2029
;Pegawai 568;Certificate in International Auditing;09/09/2019;31/12/2029
;Pegawai 827;Enterprise Risk Management Certified Professional;31/05/2018;31/12/2029
;Pegawai 97;Chartered Accountant;05/07/2019;31/12/2029
